Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server UDP Session Count, Server UDP ARQ Session Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Thu Apr  8 04:07:19 2021,26964247,19,100,9942,9933,9966,9919,9500,9963,0,0,138789,138760,138864,1091,101,101,0.010000 ~ 0.390000,0.002500 ~ 0.097500,140,3 M 710 K 196 B,1 M 616 K 77 B
Thu Apr  8 04:08:19 2021,26964248,19,100,9940,9933,9965,9941,9933,9959,0,0,138803,138777,138867,9543,101,101,0.310000 ~ 0.790000,0.077500 ~ 0.197500,140,1 M 1019 K 117 B,962 K 667 B
Thu Apr  8 04:09:19 2021,26964249,19,100,9941,9933,9966,9941,9933,9963,0,0,138805,138797,138826,9955,101,101,0.360000 ~ 0.670000,0.090000 ~ 0.167500,140,2 M 20 K 690 B,963 K 554 B
Thu Apr  8 04:10:19 2021,26964250,19,100,9942,9933,9965,9941,9933,9962,0,0,138781,138766,138805,9926,101,101,0.280000 ~ 0.800000,0.070000 ~ 0.200000,140,2 M 34 K 225 B,964 K 616 B
Thu Apr  8 04:11:19 2021,26964251,19,100,9942,9933,9966,9941,9933,9955,0,0,138785,138766,138795,9961,101,101,0.570000 ~ 0.850000,0.142500 ~ 0.212500,140,2 M 32 K 681 B,962 K 27 B
Thu Apr  8 04:12:02 2021,26964252,2,100,9933,9933,9934,9939,9933,9952,0,0,138800,138791,138806,9931,201,201,0.560000 ~ 0.820000,0.140000 ~ 0.205000,140,5 M 662 K 600 B,2 M 519 K 1012 B
Thu Apr  8 04:12:19 2021,26964252,19,200,19885,19866,19915,19857,19442,19896,0,16,138749,138662,138814,9931,201,201,0.560000 ~ 0.820000,0.140000 ~ 0.205000,140,5 M 662 K 600 B,2 M 519 K 1012 B
Thu Apr  8 04:13:19 2021,26964253,19,200,19882,19866,19923,19883,19866,19924,0,0,138783,138698,138880,18843,201,201,0.590000 ~ 0.990000,0.147500 ~ 0.247500,140,4 M 71 K 163 B,1 M 901 K 446 B
Thu Apr  8 04:14:19 2021,26964254,19,200,19883,19866,19917,19882,19867,19897,0,0,138755,138686,138848,19876,201,201,0.650000 ~ 1.210000,0.162500 ~ 0.302500,140,4 M 72 K 932 B,1 M 899 K 708 B
Thu Apr  8 04:15:19 2021,26964255,19,200,19884,19866,19903,19884,19867,19900,0,0,138745,138680,138812,19871,201,201,0.870000 ~ 1.630000,0.217500 ~ 0.407500,140,4 M 67 K 869 B,1 M 897 K 412 B
Thu Apr  8 04:16:19 2021,26964256,19,200,19883,19867,19930,19883,19867,19910,0,0,138770,138654,138895,19853,201,201,0.920000 ~ 1.540000,0.230000 ~ 0.385000,140,4 M 82 K 2 B,1 M 902 K 153 B
Thu Apr  8 04:17:03 2021,26964257,3,200,19883,19866,19911,19883,19867,19900,0,0,138741,138660,138851,19888,301,301,0.920000 ~ 1.460000,0.230000 ~ 0.365000,140,7 M 587 K 306 B,3 M 434 K 907 B
Thu Apr  8 04:17:19 2021,26964257,19,300,29823,29800,29855,29798,29382,29835,0,0,138841,138662,138995,19888,301,301,0.920000 ~ 1.460000,0.230000 ~ 0.365000,140,7 M 587 K 306 B,3 M 434 K 907 B
Thu Apr  8 04:18:19 2021,26964258,19,300,29826,29800,29854,29824,29808,29840,0,0,138813,138653,138951,28098,301,301,1.230000 ~ 1.880000,0.307500 ~ 0.470000,140,6 M 137 K 880 B,2 M 832 K 759 B
Thu Apr  8 04:19:19 2021,26964259,19,300,29824,29800,29896,29825,29801,29879,0,0,138829,138662,138979,29826,301,301,1.340000 ~ 2.360000,0.335000 ~ 0.590000,140,6 M 128 K 965 B,2 M 836 K 248 B
Thu Apr  8 04:20:19 2021,26964260,19,300,29825,29800,29881,29826,29802,29852,0,0,138811,138636,138930,29853,301,301,1.860000 ~ 2.260000,0.465000 ~ 0.565000,140,6 M 148 K 1008 B,2 M 837 K 67 B
Thu Apr  8 04:21:19 2021,26964261,19,300,29822,29800,29873,29823,29800,29850,0,0,138892,138617,139152,29806,301,301,1.580000 ~ 2.370000,0.395000 ~ 0.592500,140,6 M 101 K 577 B,2 M 855 K 433 B
Thu Apr  8 04:22:04 2021,26964262,4,300,29826,29809,29835,29821,29817,29834,0,1,138875,138616,139068,29780,401,401,1.490000 ~ 2.340000,0.372500 ~ 0.585000,140,9 M 590 K 898 B,4 M 374 K 465 B
Thu Apr  8 04:22:19 2021,26964262,19,400,39767,39733,39801,39736,39329,39793,0,32,138887,138571,139252,29780,401,401,1.490000 ~ 2.340000,0.372500 ~ 0.585000,140,9 M 590 K 898 B,4 M 374 K 465 B
Thu Apr  8 04:23:19 2021,26964263,19,400,39765,39733,39832,39766,39735,39815,0,0,138792,138581,139097,37368,401,401,1.660000 ~ 2.320000,0.415000 ~ 0.580000,140,8 M 89 K 477 B,3 M 785 K 263 B
Thu Apr  8 04:24:19 2021,26964264,19,400,39769,39733,39799,39768,39743,39792,0,0,138807,138607,139119,39843,401,401,1.740000 ~ 2.300000,0.435000 ~ 0.575000,139 ~ 140,8 M 140 K 128 B,3 M 779 K 15 B
Thu Apr  8 04:25:19 2021,26964265,19,400,39765,39734,39811,39765,39736,39793,0,0,138886,138650,139172,39747,401,401,2.060000 ~ 2.890000,0.515000 ~ 0.722500,139 ~ 140,8 M 114 K 1021 B,3 M 784 K 751 B
Thu Apr  8 04:26:19 2021,26964266,19,400,39765,39733,39859,39768,39733,39810,0,0,138910,138648,139427,39776,401,401,2.190000 ~ 2.840000,0.547500 ~ 0.710000,139 ~ 140,8 M 79 K 445 B,3 M 811 K 486 B
Thu Apr  8 04:27:06 2021,26964267,6,400,39771,39733,39833,39762,39735,39800,0,0,138904,138693,139337,39747,501,501,1.630000 ~ 2.450000,0.407500 ~ 0.612500,139,11 M 531 K 809 B,5 M 276 K 309 B
Thu Apr  8 04:27:19 2021,26964267,19,500,49708,49675,49764,49674,49282,49736,0,17,138905,138664,139277,39747,501,501,1.630000 ~ 2.450000,0.407500 ~ 0.612500,139,11 M 531 K 809 B,5 M 276 K 309 B
Thu Apr  8 04:28:19 2021,26964268,19,500,49707,49666,49785,49707,49669,49761,0,0,138894,138645,139213,46611,501,501,1.860000 ~ 2.950000,0.465000 ~ 0.737500,139 ~ 140,10 M 86 K 199 B,4 M 729 K 501 B
Thu Apr  8 04:29:19 2021,26964269,19,500,49707,49666,49781,49707,49667,49764,0,0,138970,138670,139380,49715,501,501,2.660000 ~ 4.000000,0.665000 ~ 1.000000,139 ~ 140,10 M 82 K 107 B,4 M 752 K 698 B
Thu Apr  8 04:30:19 2021,26964270,19,500,49707,49658,49741,49709,49688,49742,0,0,138931,138664,139344,49724,501,501,2.620000 ~ 3.360000,0.655000 ~ 0.840000,139 ~ 140,10 M 134 K 660 B,4 M 735 K 18 B
Thu Apr  8 04:31:19 2021,26964271,19,500,49707,49660,49783,49705,49669,49760,0,0,138989,138669,139435,49600,501,501,2.380000 ~ 3.460000,0.595000 ~ 0.865000,139,10 M 101 K 541 B,4 M 757 K 246 B
Thu Apr  8 04:32:07 2021,26964272,7,500,49712,49677,49736,49710,49691,49732,0,0,138954,138701,139395,49789,601,601,2.240000 ~ 3.260000,0.560000 ~ 0.815000,139,13 M 537 K 900 B,6 M 235 K 978 B
Thu Apr  8 04:32:19 2021,26964272,19,600,59647,59604,59676,59610,59177,59682,0,0,139144,138816,139635,49789,601,601,2.240000 ~ 3.260000,0.560000 ~ 0.815000,139,13 M 537 K 900 B,6 M 235 K 978 B
Thu Apr  8 04:33:19 2021,26964273,19,600,59646,59600,59693,59645,59604,59687,0,0,139158,138797,139806,55809,601,601,3.300000 ~ 4.510000,0.825000 ~ 1.127500,138 ~ 140,12 M 106 K 242 B,5 M 720 K 797 B
Thu Apr  8 04:34:19 2021,26964274,19,600,59648,59601,59698,59648,59619,59699,0,0,139051,138713,139553,59624,601,601,3.420000 ~ 4.530000,0.855000 ~ 1.132500,138,12 M 96 K 136 B,5 M 709 K 474 B
Thu Apr  8 04:35:19 2021,26964275,19,600,59645,59620,59690,59646,59624,59677,0,0,139106,138701,139610,59739,601,601,3.250000 ~ 4.890000,0.812500 ~ 1.222500,138 ~ 139,12 M 97 K 711 B,5 M 716 K 881 B
Thu Apr  8 04:36:19 2021,26964276,19,600,59645,59589,59685,59644,59618,59681,0,0,139110,138768,139697,59527,601,601,3.340000 ~ 4.890000,0.835000 ~ 1.222500,138 ~ 139,12 M 102 K 606 B,5 M 710 K 80 B
Thu Apr  8 04:37:08 2021,26964277,8,600,59648,59625,59690,59649,59633,59673,0,0,139049,138805,139306,59724,701,701,3.660000 ~ 4.660000,0.915000 ~ 1.165000,138,15 M 663 K 178 B,7 M 147 K 310 B
Thu Apr  8 04:37:19 2021,26964277,19,700,69584,69558,69651,69543,69125,69615,0,0,139318,138873,139703,59724,701,701,3.660000 ~ 4.660000,0.915000 ~ 1.165000,138,15 M 663 K 178 B,7 M 147 K 310 B
Thu Apr  8 04:38:19 2021,26964278,19,700,69582,69536,69631,69583,69542,69638,0,0,139332,138932,139985,65213,701,701,4.170000 ~ 6.070000,1.042500 ~ 1.517500,138,14 M 215 K 477 B,6 M 706 K 609 B
Thu Apr  8 04:39:19 2021,26964279,19,700,69583,69532,69619,69581,69546,69619,0,0,139414,138885,140081,69466,701,701,5.200000 ~ 6.150000,1.300000 ~ 1.537500,138,14 M 269 K 239 B,6 M 713 K 575 B
Thu Apr  8 04:40:19 2021,26964280,19,700,69586,69543,69644,69587,69557,69615,0,0,139184,138831,139695,69535,701,701,5.670000 ~ 6.750000,1.417500 ~ 1.687500,138,14 M 78 K 41 B,6 M 689 K 703 B
Thu Apr  8 04:41:19 2021,26964281,19,700,69583,69534,69638,69583,69548,69626,0,0,139304,138814,140191,69657,701,701,4.760000 ~ 6.320000,1.190000 ~ 1.580000,138,14 M 340 K 181 B,6 M 734 K 894 B
Thu Apr  8 04:42:10 2021,26964282,10,700,69583,69534,69655,69579,69524,69640,0,0,139394,138885,142779,69618,801,801,4.110000 ~ 6.110000,1.027500 ~ 1.527500,138,18 M 738 K 426 B,8 M 214 K 202 B
Thu Apr  8 04:42:19 2021,26964282,19,800,79526,79473,79566,79479,79067,79549,0,16,140172,139249,143151,69618,801,801,4.110000 ~ 6.110000,1.027500 ~ 1.527500,138,18 M 738 K 426 B,8 M 214 K 202 B
Thu Apr  8 04:43:19 2021,26964283,19,800,79523,79488,79576,79524,79498,79559,0,0,139830,139240,140425,74330,801,801,4.180000 ~ 6.240000,1.045000 ~ 1.560000,138 ~ 139,16 M 652 K 892 B,7 M 750 K 938 B
Thu Apr  8 04:44:19 2021,26964284,19,800,79525,79494,79591,79525,79382,79648,0,0,139974,139306,142604,79503,801,801,6.240000 ~ 6.880000,1.560000 ~ 1.720000,138 ~ 139,17 M 480 K 799 B,7 M 894 K 453 B
Thu Apr  8 04:45:19 2021,26964285,19,800,79523,79506,79545,79522,79493,79542,0,0,139935,139275,140890,79728,801,801,6.640000 ~ 7.100000,1.660000 ~ 1.775000,136 ~ 138,17 M 79 K 859 B,7 M 789 K 872 B
Thu Apr  8 04:46:19 2021,26964286,19,800,79525,79486,79580,79525,79503,79549,0,0,139928,139377,140859,79374,801,801,6.520000 ~ 7.240000,1.630000 ~ 1.810000,137,16 M 981 K 807 B,7 M 775 K 946 B
Thu Apr  8 04:47:11 2021,26964287,11,800,79527,79489,79604,79380,77767,79558,0,0,140539,139244,163029,79630,901,899,6.990000 ~ 8.360000,1.747500 ~ 2.090000,137 ~ 336,42 M 598 K 492 B,16 M 485 B
Thu Apr  8 04:47:19 2021,26964287,19,900,89426,89337,89488,57401,38293,75400,0,36,3617153,220329,7675012,79630,901,899,6.990000 ~ 8.360000,1.747500 ~ 2.090000,137 ~ 336,42 M 598 K 492 B,16 M 485 B
