Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server UDP Session Count, Server UDP ARQ Session Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Thu Apr  8 11:46:19 2021,26964706,19,1000,49511,49026,49754,47286,43271,49819,0,366,548066,310340,813246,0,1017,1017,0.000000 ~ 0.850000,0.000000 ~ 0.212500,139 ~ 141,14 M 177 K 440 B,9 M 854 K 149 B
Thu Apr  8 11:47:19 2021,26964707,19,1000,49577,49451,49666,50025,46707,54300,0,2983,555849,317324,866217,17862,1002,1002,1.340000 ~ 4.880000,0.335000 ~ 1.220000,139 ~ 140,13 M 96 K 27 B,10 M 595 K 946 B
Thu Apr  8 11:48:19 2021,26964708,19,1000,49636,49613,49666,49603,47281,51725,0,0,358219,292466,476845,49831,1001,1001,4.960000 ~ 6.200000,1.240000 ~ 1.550000,139 ~ 142,13 M 6 K 681 B,8 M 694 K 215 B
Thu Apr  8 11:49:19 2021,26964709,19,1000,49650,49602,49696,49728,47059,53325,0,0,363471,265380,476057,49743,1001,1001,5.290000 ~ 6.170000,1.322500 ~ 1.542500,139 ~ 144,13 M 15 K 494 B,8 M 779 K 400 B
Thu Apr  8 11:50:19 2021,26964710,19,1000,49655,49615,49683,49640,48092,51962,0,0,353757,305610,425933,49588,1001,1001,5.330000 ~ 6.230000,1.332500 ~ 1.557500,139 ~ 144,13 M 64 K 854 B,8 M 814 K 644 B
Thu Apr  8 11:51:13 2021,26964711,13,1000,49662,49636,49695,49561,47656,51927,0,3,357787,306893,438376,49631,2018,2012,5.640000 ~ 6.890000,1.410000 ~ 1.722500,139,12 M 993 K 365 B,8 M 464 K 916 B
Thu Apr  8 11:51:19 2021,26964711,19,2000,32741,8773,94232,6001,870,29715,0,103,1750287,461251,15788759,49631,2018,2012,5.640000 ~ 6.890000,1.410000 ~ 1.722500,139,12 M 993 K 365 B,8 M 464 K 916 B
Thu Apr  8 11:52:19 2021,26964712,19,2000,24986,7161,66160,735,225,1181,9904,263827,45959998,16724529,74842005,38332,1994,1959,5.550000 ~ 9.160000,1.387500 ~ 2.290000,139,219 M 787 K 984 B,7 M 277 K 519 B
