Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server UDP Session Count, Server UDP ARQ Session Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Thu Apr  8 06:42:19 2021,26964402,19,10,17909,17876,17918,17840,17051,17921,0,0,138250,138239,138310,33762,11,11,0.070000 ~ 0.300000,0.017500 ~ 0.075000,138,5 M 1006 K 733 B,2 M 434 K 227 B
Thu Apr  8 06:43:19 2021,26964403,19,10,17910,17904,17914,17910,17906,17915,0,0,138263,138225,138345,10938,11,11,0.250000 ~ 0.810000,0.062500 ~ 0.202500,137 ~ 138,3 M 410 K 474 B,1 M 550 K 555 B
Thu Apr  8 06:44:19 2021,26964404,19,10,17913,17906,17917,17913,17908,17917,0,0,138344,138339,138356,17957,11,11,0.690000 ~ 0.910000,0.172500 ~ 0.227500,139,3 M 397 K 5 B,1 M 549 K 741 B
Thu Apr  8 06:45:19 2021,26964405,19,10,17908,17902,17913,17908,17903,17913,0,0,138355,138349,138360,17905,11,11,0.640000 ~ 0.940000,0.160000 ~ 0.235000,139,3 M 396 K 603 B,1 M 549 K 519 B
Thu Apr  8 06:46:19 2021,26964406,19,10,17912,17907,17915,17912,17908,17915,0,0,138373,138346,138817,17900,11,11,0.590000 ~ 1.220000,0.147500 ~ 0.305000,139,3 M 396 K 584 B,1 M 549 K 669 B
Thu Apr  8 06:47:09 2021,26964407,9,10,17909,17902,17913,17909,17904,17912,0,0,138350,138346,138368,17903,21,21,1.010000 ~ 1.950000,0.252500 ~ 0.487500,139,9 M 237 K 431 B,3 M 916 K 25 B
Thu Apr  8 06:47:19 2021,26964407,19,20,35827,35807,35836,35745,34983,35929,0,0,138808,138368,140855,17903,21,21,1.010000 ~ 1.950000,0.252500 ~ 0.487500,139,9 M 237 K 431 B,3 M 916 K 25 B
Thu Apr  8 06:48:19 2021,26964408,19,20,35835,35827,35844,35835,35732,35925,0,0,138810,138360,140312,27625,21,21,1.950000 ~ 2.580000,0.487500 ~ 0.645000,139,6 M 822 K 679 B,3 M 77 K 331 B
Thu Apr  8 06:49:19 2021,26964409,19,20,35839,35830,35846,35839,35771,35905,0,0,138738,138359,140982,35880,21,21,1.850000 ~ 2.230000,0.462500 ~ 0.557500,139,6 M 849 K 207 B,3 M 79 K 614 B
Thu Apr  8 06:50:19 2021,26964410,19,20,35839,35820,35844,35839,35822,35846,0,0,138654,138359,141106,35880,21,21,2.130000 ~ 2.930000,0.532500 ~ 0.732500,139,6 M 819 K 104 B,3 M 83 K 353 B
