Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Thu Jul 26 21:13:01 2018,25543513,1,10000,399,399,399,399,399,399,0,0,324,324,324,36,6 ~ 79553,0.010000 ~ 0.090000,0.002500 ~ 0.022500,0,1 M 223 K 371 B,732 K 129 B
Thu Jul 26 21:13:02 2018,25543513,2,30000,1197,1197,1197,1197,1197,1197,0,0,311,291,333,36,6 ~ 79553,0.010000 ~ 0.090000,0.002500 ~ 0.022500,0,1 M 223 K 371 B,732 K 129 B
Thu Jul 26 21:13:03 2018,25543513,3,40000,1597,1597,1597,1597,1597,1597,0,0,317,295,345,36,6 ~ 79553,0.010000 ~ 0.090000,0.002500 ~ 0.022500,0,1 M 223 K 371 B,732 K 129 B
Thu Jul 26 21:13:04 2018,25543513,4,50000,1996,1996,1996,1996,1996,1996,0,0,323,307,342,36,6 ~ 79553,0.010000 ~ 0.090000,0.002500 ~ 0.022500,0,1 M 223 K 371 B,732 K 129 B
Thu Jul 26 21:13:05 2018,25543513,5,70000,2794,2794,2794,2794,2794,2794,0,0,324,305,360,36,6 ~ 79553,0.010000 ~ 0.090000,0.002500 ~ 0.022500,0,1 M 223 K 371 B,732 K 129 B
Thu Jul 26 21:14:00 2018,25543514,0,80000,3193,3193,3193,3193,3193,3193,0,0,321,278,351,1586,80006 ~ 160006,0.050000 ~ 0.220000,0.012500 ~ 0.055000,0,1 M 892 K 217 B,990 K 604 B
Thu Jul 26 21:14:01 2018,25543514,1,90000,3594,3594,3594,3594,3594,3594,0,0,312,267,343,1586,80006 ~ 160006,0.050000 ~ 0.220000,0.012500 ~ 0.055000,0,1 M 892 K 217 B,990 K 604 B
Thu Jul 26 21:14:02 2018,25543514,2,100000,3993,3993,3993,3993,3993,3993,0,0,312,268,339,1586,80006 ~ 160006,0.050000 ~ 0.220000,0.012500 ~ 0.055000,0,1 M 892 K 217 B,990 K 604 B
Thu Jul 26 21:14:03 2018,25543514,3,110000,4391,4391,4391,4391,4391,4391,0,0,320,279,355,1586,80006 ~ 160006,0.050000 ~ 0.220000,0.012500 ~ 0.055000,0,1 M 892 K 217 B,990 K 604 B
Thu Jul 26 21:14:04 2018,25543514,4,130000,5191,5191,5191,5191,5191,5191,0,0,309,265,343,1586,80006 ~ 160006,0.050000 ~ 0.220000,0.012500 ~ 0.055000,0,1 M 892 K 217 B,990 K 604 B
Thu Jul 26 21:14:05 2018,25543514,5,150000,5990,5990,5990,5990,5990,5990,0,0,310,267,347,1586,80006 ~ 160006,0.050000 ~ 0.220000,0.012500 ~ 0.055000,0,1 M 892 K 217 B,990 K 604 B
Thu Jul 26 21:15:00 2018,25543515,0,160000,6387,6387,6387,6387,6387,6387,0,0,331,286,362,4715,163327 ~ 260006,0.120000 ~ 0.710000,0.030000 ~ 0.177500,0,2 M 859 K 112 B,1 M 392 K 267 B
Thu Jul 26 21:15:01 2018,25543515,1,180000,7187,7187,7187,7187,7187,7187,0,0,327,289,353,4715,163327 ~ 260006,0.120000 ~ 0.710000,0.030000 ~ 0.177500,0,2 M 859 K 112 B,1 M 392 K 267 B
Thu Jul 26 21:15:02 2018,25543515,2,200000,7985,7985,7985,7985,7985,7985,0,0,320,276,351,4715,163327 ~ 260006,0.120000 ~ 0.710000,0.030000 ~ 0.177500,0,2 M 859 K 112 B,1 M 392 K 267 B
Thu Jul 26 21:15:03 2018,25543515,3,210000,8384,8384,8384,8384,8384,8384,0,0,323,283,358,4715,163327 ~ 260006,0.120000 ~ 0.710000,0.030000 ~ 0.177500,0,2 M 859 K 112 B,1 M 392 K 267 B
Thu Jul 26 21:15:04 2018,25543515,4,230000,9184,9184,9184,9184,9184,9184,0,0,327,278,433,4715,163327 ~ 260006,0.120000 ~ 0.710000,0.030000 ~ 0.177500,0,2 M 859 K 112 B,1 M 392 K 267 B
Thu Jul 26 21:15:05 2018,25543515,5,250000,9980,9980,9980,9980,9980,9980,0,0,323,288,397,4715,163327 ~ 260006,0.120000 ~ 0.710000,0.030000 ~ 0.177500,0,2 M 859 K 112 B,1 M 392 K 267 B
Thu Jul 26 21:16:00 2018,25543516,0,260000,10382,10382,10382,10382,10382,10382,0,0,339,309,377,8527,262771 ~ 360006,0.600000 ~ 1.050000,0.150000 ~ 0.262500,0,3 M 826 K 668 B,1 M 810 K 150 B
Thu Jul 26 21:16:01 2018,25543516,1,280000,11177,11177,11177,11177,11177,11177,0,0,352,312,393,8527,262771 ~ 360006,0.600000 ~ 1.050000,0.150000 ~ 0.262500,0,3 M 826 K 668 B,1 M 810 K 150 B
Thu Jul 26 21:16:02 2018,25543516,2,300000,11977,11977,11977,11977,11977,11977,0,0,373,316,560,8527,262771 ~ 360006,0.600000 ~ 1.050000,0.150000 ~ 0.262500,0,3 M 826 K 668 B,1 M 810 K 150 B
Thu Jul 26 21:16:03 2018,25543516,3,310000,12374,12374,12374,12374,12374,12374,0,0,393,302,864,8527,262771 ~ 360006,0.600000 ~ 1.050000,0.150000 ~ 0.262500,0,3 M 826 K 668 B,1 M 810 K 150 B
Thu Jul 26 21:16:04 2018,25543516,4,330000,13178,13178,13178,13178,13178,13178,0,0,337,296,385,8527,262771 ~ 360006,0.600000 ~ 1.050000,0.150000 ~ 0.262500,0,3 M 826 K 668 B,1 M 810 K 150 B
Thu Jul 26 21:16:05 2018,25543516,5,350000,13969,13969,13969,13969,13969,13969,0,0,369,290,428,8527,262771 ~ 360006,0.600000 ~ 1.050000,0.150000 ~ 0.262500,0,3 M 826 K 668 B,1 M 810 K 150 B
Thu Jul 26 21:17:00 2018,25543517,0,360000,14372,14372,14372,14372,14372,14372,0,0,397,345,451,12505,362218 ~ 460006,0.890000 ~ 1.910000,0.222500 ~ 0.477500,0,4 M 802 K 626 B,2 M 205 K 531 B
Thu Jul 26 21:17:01 2018,25543517,1,380000,15170,15170,15170,15170,15170,15170,0,0,378,333,424,12505,362218 ~ 460006,0.890000 ~ 1.910000,0.222500 ~ 0.477500,0,4 M 802 K 626 B,2 M 205 K 531 B
Thu Jul 26 21:17:02 2018,25543517,2,400000,15967,15967,15967,15967,15967,15967,0,0,358,312,691,12505,362218 ~ 460006,0.890000 ~ 1.910000,0.222500 ~ 0.477500,0,4 M 802 K 626 B,2 M 205 K 531 B
Thu Jul 26 21:17:03 2018,25543517,3,410000,16361,16361,16361,16361,16361,16361,0,0,459,365,790,12505,362218 ~ 460006,0.890000 ~ 1.910000,0.222500 ~ 0.477500,0,4 M 802 K 626 B,2 M 205 K 531 B
Thu Jul 26 21:17:04 2018,25543517,4,430000,17171,17171,17171,17171,17171,17171,0,0,374,307,426,12505,362218 ~ 460006,0.890000 ~ 1.910000,0.222500 ~ 0.477500,0,4 M 802 K 626 B,2 M 205 K 531 B
Thu Jul 26 21:17:05 2018,25543517,5,450000,17959,17959,17959,17959,17959,17959,0,0,388,340,518,12505,362218 ~ 460006,0.890000 ~ 1.910000,0.222500 ~ 0.477500,0,4 M 802 K 626 B,2 M 205 K 531 B
Thu Jul 26 21:18:00 2018,25543518,0,460000,18362,18362,18362,18362,18362,18362,0,0,419,350,631,16532,460006 ~ 534171,1.530000 ~ 2.240000,0.382500 ~ 0.560000,0 ~ 1,5 M 260 K 869 B,2 M 347 K 339 B
Thu Jul 26 21:18:01 2018,25543518,1,470000,18760,18760,18760,18760,18760,18760,0,0,410,348,632,16532,460006 ~ 534171,1.530000 ~ 2.240000,0.382500 ~ 0.560000,0 ~ 1,5 M 260 K 869 B,2 M 347 K 339 B
Thu Jul 26 21:18:02 2018,25543518,2,490000,19548,19548,19548,19548,19548,19548,0,0,552,323,1135,16532,460006 ~ 534171,1.530000 ~ 2.240000,0.382500 ~ 0.560000,0 ~ 1,5 M 260 K 869 B,2 M 347 K 339 B
Thu Jul 26 21:18:03 2018,25543518,3,500000,19947,19947,19947,19947,19947,19947,0,0,563,386,1064,16532,460006 ~ 534171,1.530000 ~ 2.240000,0.382500 ~ 0.560000,0 ~ 1,5 M 260 K 869 B,2 M 347 K 339 B
Thu Jul 26 21:18:04 2018,25543518,4,510000,20347,20347,20347,20347,20347,20347,0,0,536,400,951,16532,460006 ~ 534171,1.530000 ~ 2.240000,0.382500 ~ 0.560000,0 ~ 1,5 M 260 K 869 B,2 M 347 K 339 B
Thu Jul 26 21:18:05 2018,25543518,5,520000,20721,20721,20721,20721,20721,20721,0,0,795,427,1106,16532,460006 ~ 534171,1.530000 ~ 2.240000,0.382500 ~ 0.560000,0 ~ 1,5 M 260 K 869 B,2 M 347 K 339 B
Thu Jul 26 21:19:00 2018,25543519,0,540000,21557,21557,21557,21557,21557,21557,0,0,463,380,586,19956,540006 ~ 594809,1.250000 ~ 2.150000,0.312500 ~ 0.537500,0 ~ 1,5 M 773 K 429 B,2 M 492 K 558 B
Thu Jul 26 21:19:01 2018,25543519,1,550000,21939,21939,21939,21939,21939,21939,0,0,548,429,1316,19956,540006 ~ 594809,1.250000 ~ 2.150000,0.312500 ~ 0.537500,0 ~ 1,5 M 773 K 429 B,2 M 492 K 558 B
Thu Jul 26 21:19:02 2018,25543519,2,560000,22340,22340,22340,22340,22340,22340,0,0,490,410,1035,19956,540006 ~ 594809,1.250000 ~ 2.150000,0.312500 ~ 0.537500,0 ~ 1,5 M 773 K 429 B,2 M 492 K 558 B
Thu Jul 26 21:19:03 2018,25543519,3,570000,22737,22737,22737,22737,22737,22737,0,0,539,478,603,19956,540006 ~ 594809,1.250000 ~ 2.150000,0.312500 ~ 0.537500,0 ~ 1,5 M 773 K 429 B,2 M 492 K 558 B
Thu Jul 26 21:19:04 2018,25543519,4,580000,23137,23137,23137,23137,23137,23137,0,0,601,515,731,19956,540006 ~ 594809,1.250000 ~ 2.150000,0.312500 ~ 0.537500,0 ~ 1,5 M 773 K 429 B,2 M 492 K 558 B
Thu Jul 26 21:19:05 2018,25543519,5,590000,23534,23534,23534,23534,23534,23534,0,0,582,496,704,19956,540006 ~ 594809,1.250000 ~ 2.150000,0.312500 ~ 0.537500,0 ~ 1,5 M 773 K 429 B,2 M 492 K 558 B
Thu Jul 26 21:20:00 2018,25543520,0,590000,23513,23513,23513,23513,23513,23513,0,0,802,681,893,22691,597332 ~ 623889,2.090000 ~ 2.600000,0.522500 ~ 0.650000,0 ~ 1,5 M 924 K 257 B,2 M 510 K 481 B
Thu Jul 26 21:20:01 2018,25543520,1,600000,23883,23883,23883,23883,23883,23883,0,0,1127,770,1747,22691,597332 ~ 623889,2.090000 ~ 2.600000,0.522500 ~ 0.650000,0 ~ 1,5 M 924 K 257 B,2 M 510 K 481 B
Thu Jul 26 21:20:04 2018,25543520,4,610000,24207,24135,24283,24207,24135,24283,0,0,1870,900,4334,22691,597332 ~ 623889,2.090000 ~ 2.600000,0.522500 ~ 0.650000,0 ~ 1,5 M 924 K 257 B,2 M 510 K 481 B
Thu Jul 26 21:20:05 2018,25543520,5,620000,24596,24596,24596,24596,24596,24596,0,0,1958,1128,2835,22691,597332 ~ 623889,2.090000 ~ 2.600000,0.522500 ~ 0.650000,0 ~ 1,5 M 924 K 257 B,2 M 510 K 481 B
Thu Jul 26 21:21:02 2018,25543521,2,620000,24488,24466,24521,24488,24466,24521,0,0,3067,2518,3659,24323,624573 ~ 632643,2.090000 ~ 3.000000,0.522500 ~ 0.750000,0 ~ 4,5 M 968 K 894 B,2 M 489 K 871 B
Thu Jul 26 21:21:05 2018,25543521,5,630000,24868,24832,24917,24868,24832,24917,0,0,3212,2413,3842,24323,624573 ~ 632643,2.090000 ~ 3.000000,0.522500 ~ 0.750000,0 ~ 4,5 M 968 K 894 B,2 M 489 K 871 B
Thu Jul 26 21:22:05 2018,25543522,5,630000,24787,24744,24845,24787,24744,24845,0,0,4055,3317,5207,24886,632681 ~ 635738,2.270000 ~ 3.000000,0.567500 ~ 0.750000,4 ~ 8,5 M 971 K 563 B,2 M 485 K 597 B
Thu Jul 26 21:23:05 2018,25543523,5,630000,24688,24655,24712,24688,24655,24712,0,0,5060,4137,6263,24995,635884 ~ 638148,2.160000 ~ 2.440000,0.540000 ~ 0.610000,2 ~ 6,5 M 978 K 817 B,2 M 502 K 310 B
Thu Jul 26 21:24:05 2018,25543524,5,630000,24617,24597,24650,24617,24597,24650,0,0,5812,4849,6917,24978,638239 ~ 639982,1.770000 ~ 2.460000,0.442500 ~ 0.615000,6 ~ 8,7 M 164 K 212 B,2 M 1019 K 606 B
Thu Jul 26 21:25:00 2018,25543525,0,630000,24599,24599,24599,24599,24599,24599,0,0,5929,5100,6714,24922,639989 ~ 641391,1.790000 ~ 2.300000,0.447500 ~ 0.575000,6 ~ 8,5 M 987 K 413 B,2 M 512 K 269 B
Thu Jul 26 21:25:05 2018,25543525,5,640000,24949,24920,24972,24949,24920,24972,0,0,6405,5345,8184,24922,639989 ~ 641391,1.790000 ~ 2.300000,0.447500 ~ 0.575000,6 ~ 8,5 M 987 K 413 B,2 M 512 K 269 B
Thu Jul 26 21:26:05 2018,25543526,5,640000,24879,24850,24917,24879,24850,24917,0,0,7124,5789,8712,24980,641432 ~ 643288,2.120000 ~ 2.580000,0.530000 ~ 0.645000,7 ~ 113,6 M 596 K 280 B,2 M 789 K 761 B
Thu Jul 26 21:27:05 2018,25543527,5,640000,24824,24812,24849,24824,24812,24849,0,0,7701,6213,9520,25015,643399 ~ 644561,2.000000 ~ 2.700000,0.500000 ~ 0.675000,7 ~ 113,6 M 595 K 407 B,2 M 788 K 586 B
Thu Jul 26 21:28:05 2018,25543528,5,640000,24780,24760,24803,24780,24760,24803,0,0,8143,6522,9907,24923,644641 ~ 645732,2.040000 ~ 2.440000,0.510000 ~ 0.610000,7 ~ 9,5 M 988 K 992 B,2 M 534 K 821 B
Thu Jul 26 21:29:05 2018,25543529,5,640000,24734,24712,24764,24734,24712,24764,0,0,8635,6971,10328,25000,645778 ~ 647037,2.030000 ~ 2.840000,0.507500 ~ 0.710000,4 ~ 9,6 M 565 K 804 B,2 M 788 K 869 B
Thu Jul 26 21:30:05 2018,25543530,5,640000,24689,24664,24703,24689,24664,24703,0,0,9106,7374,11329,25015,647098 ~ 648270,2.340000 ~ 2.880000,0.585000 ~ 0.720000,4 ~ 6,6 M 574 K 503 B,2 M 796 K 290 B
Thu Jul 26 21:31:05 2018,25543531,5,640000,24647,24632,24661,24647,24632,24661,0,0,9543,7840,11833,24932,648278 ~ 649292,2.340000 ~ 2.830000,0.585000 ~ 0.707500,4 ~ 7,6 M 581 K 157 B,2 M 810 K 687 B
Thu Jul 26 21:32:04 2018,25543532,4,640000,24613,24596,24627,24613,24596,24627,0,0,9914,8012,12551,25010,649317 ~ 650286,2.550000 ~ 2.950000,0.637500 ~ 0.737500,4 ~ 8,7 M 188 K 509 B,3 M 58 K 705 B
Thu Jul 26 21:32:05 2018,25543532,5,650000,24972,24972,24972,24972,24972,24972,0,0,10155,8730,12130,25010,649317 ~ 650286,2.550000 ~ 2.950000,0.637500 ~ 0.737500,4 ~ 8,7 M 188 K 509 B,3 M 58 K 705 B
Thu Jul 26 21:33:05 2018,25543533,5,650000,24956,24944,24980,24956,24944,24980,0,0,10338,8603,13305,25013,650311 ~ 651242,2.350000 ~ 3.180000,0.587500 ~ 0.795000,5 ~ 8,6 M 565 K 96 B,2 M 803 K 674 B
Thu Jul 26 21:34:05 2018,25543534,5,650000,24919,24898,24940,24919,24898,24940,0,0,10734,8529,13081,24926,651264 ~ 652359,1.520000 ~ 2.350000,0.380000 ~ 0.587500,7 ~ 110,5 M 981 K 267 B,2 M 559 K 739 B
Thu Jul 26 21:35:05 2018,25543535,5,650000,24886,24853,24898,24886,24853,24898,0,0,11068,9081,13441,25030,652370 ~ 653166,1.520000 ~ 1.890000,0.380000 ~ 0.472500,9 ~ 10,5 M 989 K 296 B,2 M 567 K 464 B
Thu Jul 26 21:36:04 2018,25543536,4,650000,24857,24839,24874,24857,24839,24874,0,0,11386,9629,13356,25030,653209 ~ 653904,1.540000 ~ 2.420000,0.385000 ~ 0.605000,3 ~ 9,5 M 985 K 488 B,2 M 569 K 896 B
Thu Jul 26 21:36:05 2018,25543536,5,640000,24460,24460,24460,24460,24460,24460,0,0,11555,9647,13207,25030,653209 ~ 653904,1.540000 ~ 2.420000,0.385000 ~ 0.605000,3 ~ 9,5 M 985 K 488 B,2 M 569 K 896 B
Thu Jul 26 21:37:05 2018,25543537,5,650000,24819,24809,24840,24819,24809,24840,0,0,11781,9858,13945,24922,653927 ~ 654865,2.130000 ~ 2.600000,0.532500 ~ 0.650000,3 ~ 9,5 M 994 K 255 B,2 M 574 K 436 B
Thu Jul 26 21:38:05 2018,25543538,5,650000,24789,24779,24799,24789,24779,24799,0,0,12091,9841,14366,25022,654865 ~ 655598,2.290000 ~ 2.780000,0.572500 ~ 0.695000,2 ~ 10,5 M 990 K 49 B,2 M 575 K 283 B
Thu Jul 26 21:39:05 2018,25543539,5,650000,24753,24737,24774,24753,24737,24774,0,0,12467,9847,15763,25024,655611 ~ 656530,1.520000 ~ 2.350000,0.380000 ~ 0.587500,2 ~ 9,5 M 992 K 356 B,2 M 583 K 222 B
Thu Jul 26 21:40:05 2018,25543540,5,650000,24721,24706,24733,24721,24706,24733,0,0,12824,10899,15900,24924,656580 ~ 657400,1.410000 ~ 1.830000,0.352500 ~ 0.457500,7 ~ 8,5 M 989 K 27 B,2 M 587 K 977 B
Thu Jul 26 21:41:05 2018,25543541,5,650000,24694,24681,24712,24694,24681,24712,0,0,13103,10399,16229,25033,657400 ~ 658229,1.680000 ~ 2.200000,0.420000 ~ 0.550000,2 ~ 8,5 M 994 K 839 B,2 M 590 K 730 B
Thu Jul 26 21:42:05 2018,25543542,5,650000,24656,24638,24668,24656,24638,24668,0,0,13499,11044,17110,24945,658290 ~ 659087,1.930000 ~ 2.320000,0.482500 ~ 0.580000,2 ~ 8,6 M 565 K 824 B,2 M 858 K 489 B
Thu Jul 26 21:43:05 2018,25543543,5,650000,24630,24616,24642,24630,24616,24642,0,0,13792,11479,17188,25023,659088 ~ 659763,2.200000 ~ 2.690000,0.550000 ~ 0.672500,7 ~ 9,5 M 993 K 877 B,2 M 602 K 445 B
Thu Jul 26 21:44:01 2018,25543544,1,650000,24619,24613,24624,24619,24613,24624,0,0,13876,11832,16463,24941,659779 ~ 660520,2.340000 ~ 2.730000,0.585000 ~ 0.682500,4 ~ 10,6 M 588 K 110 B,2 M 859 K 103 B
Thu Jul 26 21:44:05 2018,25543544,5,660000,24978,24963,24991,24978,24963,24991,0,0,14130,11514,17022,24941,659779 ~ 660520,2.340000 ~ 2.730000,0.585000 ~ 0.682500,4 ~ 10,6 M 588 K 110 B,2 M 859 K 103 B
Thu Jul 26 21:45:05 2018,25543545,5,660000,24961,24949,24972,24961,24949,24972,0,0,14288,11346,17140,25023,660552 ~ 661097,1.900000 ~ 2.910000,0.475000 ~ 0.727500,6 ~ 112,6 M 579 K 275 B,2 M 873 K 779 B
Thu Jul 26 21:46:05 2018,25543546,5,660000,24936,24920,24955,24936,24920,24955,0,0,14552,11699,17744,24963,661113 ~ 661806,2.020000 ~ 2.430000,0.505000 ~ 0.607500,6 ~ 9,6 M 579 K 865 B,2 M 866 K 134 B
Thu Jul 26 21:47:05 2018,25543547,5,660000,24911,24894,24924,24911,24894,24924,0,0,14815,11962,18056,25023,661834 ~ 662454,2.060000 ~ 2.690000,0.515000 ~ 0.672500,4 ~ 10,6 M 589 K 671 B,2 M 879 K 565 B
Thu Jul 26 21:48:05 2018,25543548,5,660000,24889,24874,24907,24889,24874,24907,0,0,15059,12554,19366,24947,662457 ~ 663067,1.980000 ~ 2.350000,0.495000 ~ 0.587500,6 ~ 10,6 M 583 K 839 B,2 M 871 K 1014 B
Thu Jul 26 21:49:05 2018,25543549,5,660000,24862,24847,24892,24862,24847,24892,0,0,15348,12322,18265,25026,663077 ~ 663743,1.600000 ~ 2.290000,0.400000 ~ 0.572500,5 ~ 8,5 M 997 K 604 B,2 M 618 K 492 B
Thu Jul 26 21:50:05 2018,25543550,5,660000,24838,24815,24850,24838,24815,24850,0,0,15604,12817,19356,24939,663757 ~ 664398,1.520000 ~ 2.140000,0.380000 ~ 0.535000,2 ~ 113,6 M 583 K 166 B,2 M 882 K 335 B
