Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Mon Jul 30 13:04:05 2018,25548784,5,370000,7394,7394,7394,7394,7394,7394,0,0,314,269,342,4803,290006 ~ 384909,0.300000 ~ 0.730000,0.075000 ~ 0.182500,0,2 M 294 K 340 B,1 M 182 K 650 B
Mon Jul 30 13:05:00 2018,25548785,0,390000,7791,7791,7791,7791,7791,7791,0,0,321,275,357,6775,390006 ~ 460006,0.540000 ~ 0.820000,0.135000 ~ 0.205000,0,2 M 467 K 967 B,1 M 173 K 756 B
Mon Jul 30 13:05:01 2018,25548785,1,400000,7993,7993,7993,7993,7993,7993,0,0,330,287,354,6775,390006 ~ 460006,0.540000 ~ 0.820000,0.135000 ~ 0.205000,0,2 M 467 K 967 B,1 M 173 K 756 B
Mon Jul 30 13:05:02 2018,25548785,2,410000,8190,8190,8190,8190,8190,8190,0,0,323,280,359,6775,390006 ~ 460006,0.540000 ~ 0.820000,0.135000 ~ 0.205000,0,2 M 467 K 967 B,1 M 173 K 756 B
Mon Jul 30 13:05:03 2018,25548785,3,430000,8594,8594,8594,8594,8594,8594,0,0,319,274,360,6775,390006 ~ 460006,0.540000 ~ 0.820000,0.135000 ~ 0.205000,0,2 M 467 K 967 B,1 M 173 K 756 B
Mon Jul 30 13:05:04 2018,25548785,4,440000,8791,8791,8791,8791,8791,8791,0,0,335,272,392,6775,390006 ~ 460006,0.540000 ~ 0.820000,0.135000 ~ 0.205000,0,2 M 467 K 967 B,1 M 173 K 756 B
Mon Jul 30 13:05:05 2018,25548785,5,450000,8991,8991,8991,8991,8991,8991,0,0,340,284,383,6775,390006 ~ 460006,0.540000 ~ 0.820000,0.135000 ~ 0.205000,0,2 M 467 K 967 B,1 M 173 K 756 B
Mon Jul 30 13:06:00 2018,25548786,0,460000,9191,9191,9191,9191,9191,9191,0,0,332,294,376,8499,460006 ~ 550006,0.620000 ~ 1.270000,0.155000 ~ 0.317500,0,2 M 925 K 144 B,1 M 383 K 214 B
Mon Jul 30 13:06:01 2018,25548786,1,480000,9591,9591,9591,9591,9591,9591,0,0,331,276,358,8499,460006 ~ 550006,0.620000 ~ 1.270000,0.155000 ~ 0.317500,0,2 M 925 K 144 B,1 M 383 K 214 B
Mon Jul 30 13:06:02 2018,25548786,2,490000,9791,9791,9791,9791,9791,9791,0,0,323,274,348,8499,460006 ~ 550006,0.620000 ~ 1.270000,0.155000 ~ 0.317500,0,2 M 925 K 144 B,1 M 383 K 214 B
Mon Jul 30 13:06:03 2018,25548786,3,500000,9992,9992,9992,9992,9992,9992,0,0,325,287,356,8499,460006 ~ 550006,0.620000 ~ 1.270000,0.155000 ~ 0.317500,0,2 M 925 K 144 B,1 M 383 K 214 B
Mon Jul 30 13:06:04 2018,25548786,4,520000,10388,10388,10388,10388,10388,10388,0,0,329,289,362,8499,460006 ~ 550006,0.620000 ~ 1.270000,0.155000 ~ 0.317500,0,2 M 925 K 144 B,1 M 383 K 214 B
Mon Jul 30 13:06:05 2018,25548786,5,540000,10791,10791,10791,10791,10791,10791,0,0,334,289,399,8499,460006 ~ 550006,0.620000 ~ 1.270000,0.155000 ~ 0.317500,0,2 M 925 K 144 B,1 M 383 K 214 B
Mon Jul 30 13:07:00 2018,25548787,0,550000,10990,10990,10990,10990,10990,10990,0,0,338,293,392,10046,550006 ~ 650006,0.770000 ~ 1.270000,0.192500 ~ 0.317500,0,3 M 443 K 32 B,1 M 631 K 839 B
Mon Jul 30 13:07:01 2018,25548787,1,570000,11389,11389,11389,11389,11389,11389,0,0,360,307,399,10046,550006 ~ 650006,0.770000 ~ 1.270000,0.192500 ~ 0.317500,0,3 M 443 K 32 B,1 M 631 K 839 B
Mon Jul 30 13:07:02 2018,25548787,2,580000,11589,11589,11589,11589,11589,11589,0,0,376,316,454,10046,550006 ~ 650006,0.770000 ~ 1.270000,0.192500 ~ 0.317500,0,3 M 443 K 32 B,1 M 631 K 839 B
Mon Jul 30 13:07:03 2018,25548787,3,600000,11988,11988,11988,11988,11988,11988,0,0,343,295,406,10046,550006 ~ 650006,0.770000 ~ 1.270000,0.192500 ~ 0.317500,0,3 M 443 K 32 B,1 M 631 K 839 B
Mon Jul 30 13:07:04 2018,25548787,4,620000,12388,12388,12388,12388,12388,12388,0,0,343,300,397,10046,550006 ~ 650006,0.770000 ~ 1.270000,0.192500 ~ 0.317500,0,3 M 443 K 32 B,1 M 631 K 839 B
Mon Jul 30 13:07:05 2018,25548787,5,640000,12787,12787,12787,12787,12787,12787,0,0,372,311,418,10046,550006 ~ 650006,0.770000 ~ 1.270000,0.192500 ~ 0.317500,0,3 M 443 K 32 B,1 M 631 K 839 B
Mon Jul 30 13:08:00 2018,25548788,0,650000,12984,12984,12984,12984,12984,12984,0,0,370,301,442,11996,650006 ~ 746944,0.810000 ~ 1.190000,0.202500 ~ 0.297500,0,3 M 892 K 448 B,1 M 820 K 760 B
Mon Jul 30 13:08:01 2018,25548788,1,670000,13385,13385,13385,13385,13385,13385,0,0,385,336,445,11996,650006 ~ 746944,0.810000 ~ 1.190000,0.202500 ~ 0.297500,0,3 M 892 K 448 B,1 M 820 K 760 B
Mon Jul 30 13:08:02 2018,25548788,2,680000,13586,13586,13586,13586,13586,13586,0,0,453,369,539,11996,650006 ~ 746944,0.810000 ~ 1.190000,0.202500 ~ 0.297500,0,3 M 892 K 448 B,1 M 820 K 760 B
Mon Jul 30 13:08:03 2018,25548788,3,700000,13986,13986,13986,13986,13986,13986,0,0,468,387,585,11996,650006 ~ 746944,0.810000 ~ 1.190000,0.202500 ~ 0.297500,0,3 M 892 K 448 B,1 M 820 K 760 B
Mon Jul 30 13:08:04 2018,25548788,4,720000,14381,14381,14381,14381,14381,14381,0,0,536,417,728,11996,650006 ~ 746944,0.810000 ~ 1.190000,0.202500 ~ 0.297500,0,3 M 892 K 448 B,1 M 820 K 760 B
Mon Jul 30 13:08:05 2018,25548788,5,730000,14572,14572,14572,14572,14572,14572,0,0,769,324,1636,11996,650006 ~ 746944,0.810000 ~ 1.190000,0.202500 ~ 0.297500,0,3 M 892 K 448 B,1 M 820 K 760 B
Mon Jul 30 13:09:00 2018,25548789,0,750000,14960,14960,14960,14960,14960,14960,0,0,1261,536,2217,14010,750006 ~ 839967,1.000000 ~ 1.590000,0.250000 ~ 0.397500,0 ~ 1,4 M 419 K 87 B,2 M 60 K 848 B
Mon Jul 30 13:09:01 2018,25548789,1,760000,15174,15174,15174,15174,15174,15174,0,0,763,404,1676,14010,750006 ~ 839967,1.000000 ~ 1.590000,0.250000 ~ 0.397500,0 ~ 1,4 M 419 K 87 B,2 M 60 K 848 B
Mon Jul 30 13:09:02 2018,25548789,2,780000,15579,15579,15579,15579,15579,15579,0,0,617,458,983,14010,750006 ~ 839967,1.000000 ~ 1.590000,0.250000 ~ 0.397500,0 ~ 1,4 M 419 K 87 B,2 M 60 K 848 B
Mon Jul 30 13:09:03 2018,25548789,3,790000,15777,15777,15777,15777,15777,15777,0,0,687,436,1210,14010,750006 ~ 839967,1.000000 ~ 1.590000,0.250000 ~ 0.397500,0 ~ 1,4 M 419 K 87 B,2 M 60 K 848 B
