Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Thu Jul 26 20:11:00 2018,25543451,0,10000,100,100,100,100,100,100,0,0,326,326,326,5,10006 ~ 100006,0.010000 ~ 0.140000,0.002500 ~ 0.035000,0,602 K 613 B,402 K 58 B
Thu Jul 26 20:11:01 2018,25543451,1,20000,200,200,200,200,200,200,0,0,319,312,325,5,10006 ~ 100006,0.010000 ~ 0.140000,0.002500 ~ 0.035000,0,602 K 613 B,402 K 58 B
Thu Jul 26 20:11:02 2018,25543451,2,30000,299,299,299,299,299,299,0,0,310,301,324,5,10006 ~ 100006,0.010000 ~ 0.140000,0.002500 ~ 0.035000,0,602 K 613 B,402 K 58 B
Thu Jul 26 20:11:03 2018,25543451,3,50000,499,499,499,499,499,499,0,0,321,301,340,5,10006 ~ 100006,0.010000 ~ 0.140000,0.002500 ~ 0.035000,0,602 K 613 B,402 K 58 B
Thu Jul 26 20:11:04 2018,25543451,4,70000,699,699,699,699,699,699,0,0,313,295,338,5,10006 ~ 100006,0.010000 ~ 0.140000,0.002500 ~ 0.035000,0,602 K 613 B,402 K 58 B
Thu Jul 26 20:11:05 2018,25543451,5,80000,799,799,799,799,799,799,0,0,305,277,321,5,10006 ~ 100006,0.010000 ~ 0.140000,0.002500 ~ 0.035000,0,602 K 613 B,402 K 58 B
Thu Jul 26 20:12:00 2018,25543452,0,100000,999,999,999,999,999,999,0,0,308,285,327,533,100006 ~ 180006,0.140000 ~ 0.510000,0.035000 ~ 0.127500,0 ~ 1,885 K 276 B,581 K 548 B
Thu Jul 26 20:12:01 2018,25543452,1,120000,1199,1199,1199,1199,1199,1199,0,0,304,278,336,533,100006 ~ 180006,0.140000 ~ 0.510000,0.035000 ~ 0.127500,0 ~ 1,885 K 276 B,581 K 548 B
Thu Jul 26 20:12:02 2018,25543452,2,130000,1299,1299,1299,1299,1299,1299,0,0,302,275,354,533,100006 ~ 180006,0.140000 ~ 0.510000,0.035000 ~ 0.127500,0 ~ 1,885 K 276 B,581 K 548 B
Thu Jul 26 20:12:03 2018,25543452,3,150000,1499,1499,1499,1499,1499,1499,0,0,302,272,348,533,100006 ~ 180006,0.140000 ~ 0.510000,0.035000 ~ 0.127500,0 ~ 1,885 K 276 B,581 K 548 B
