Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Sun Jul 29 20:54:05 2018,25547814,5,510000,24712,24565,24799,24712,24564,24799,0,3,80611,56134,197463,25061,517221 ~ 517420,1.990000 ~ 2.710000,0.497500 ~ 0.677500,6 ~ 10,8 M 527 K 565 B,4 M 923 K 898 B
Sun Jul 29 20:55:05 2018,25547815,5,510000,24646,24497,24809,24646,24497,24809,0,0,81510,55657,171099,25008,517427 ~ 517617,2.440000 ~ 2.870000,0.610000 ~ 0.717500,6 ~ 110,7 M 249 K 1007 B,3 M 1014 K 574 B
Sun Jul 29 20:56:05 2018,25547816,5,510000,24689,24567,24852,24689,24567,24852,0,4,81701,61979,177432,25088,517617 ~ 517742,2.330000 ~ 2.880000,0.582500 ~ 0.720000,6 ~ 676,6 M 663 K 845 B,3 M 925 K 223 B
Sun Jul 29 20:57:05 2018,25547817,5,510000,24680,24552,24784,24680,24551,24784,0,2,81088,55437,201039,25065,517733 ~ 517887,2.100000 ~ 2.810000,0.525000 ~ 0.702500,5 ~ 9,7 M 269 K 1012 B,4 M 264 K 473 B
Sun Jul 29 20:58:05 2018,25547818,5,510000,24775,24672,24837,24775,24672,24837,0,0,80772,53777,230513,25072,517895 ~ 518050,2.070000 ~ 2.500000,0.517500 ~ 0.625000,5 ~ 8,6 M 664 K 956 B,3 M 818 K 629 B
Sun Jul 29 20:59:05 2018,25547819,5,510000,24634,24498,24713,24634,24498,24713,0,3,81928,57349,176606,25092,518009 ~ 518109,1.920000 ~ 2.470000,0.480000 ~ 0.617500,5 ~ 113,7 M 273 K 851 B,4 M 141 K 681 B
Sun Jul 29 21:00:05 2018,25547820,5,510000,24667,24512,24812,24667,24512,24812,0,3,81231,59738,195660,25034,518030 ~ 518269,2.200000 ~ 2.670000,0.550000 ~ 0.667500,4 ~ 107,7 M 273 K 490 B,4 M 153 K 1000 B
Sun Jul 29 21:01:05 2018,25547821,5,510000,24660,24484,24752,24660,24484,24752,0,1,81293,55966,231347,25122,518285 ~ 518540,1.870000 ~ 2.610000,0.467500 ~ 0.652500,4 ~ 219,7 M 303 K 861 B,4 M 117 K 376 B
Sun Jul 29 21:02:05 2018,25547822,5,510000,24614,24458,24773,24614,24458,24773,0,2,81862,54188,238241,25070,518520 ~ 518727,2.390000 ~ 2.960000,0.597500 ~ 0.740000,4 ~ 7,6 M 656 K 302 B,3 M 871 K 734 B
Sun Jul 29 21:03:05 2018,25547823,5,510000,24652,24439,24838,24652,24439,24838,0,0,82264,60044,147684,25046,518732 ~ 518848,2.280000 ~ 2.590000,0.570000 ~ 0.647500,6 ~ 10,6 M 650 K 360 B,3 M 828 K 523 B
Sun Jul 29 21:04:05 2018,25547824,5,510000,24695,24485,24982,24695,24485,24982,0,1,80754,52297,218693,25066,518848 ~ 518891,2.360000 ~ 2.780000,0.590000 ~ 0.695000,9 ~ 216,6 M 662 K 351 B,3 M 833 K 897 B
Sun Jul 29 21:05:05 2018,25547825,5,510000,24631,24421,24760,24631,24421,24760,0,2,80779,55496,261058,25124,518867 ~ 519013,2.170000 ~ 2.620000,0.542500 ~ 0.655000,3 ~ 216,6 M 644 K 711 B,3 M 673 K 817 B
Sun Jul 29 21:06:05 2018,25547826,5,510000,24663,24482,24803,24663,24482,24802,0,9,81740,55361,288710,25009,518942 ~ 519016,2.120000 ~ 2.630000,0.530000 ~ 0.657500,8 ~ 631,7 M 270 K 7 B,4 M 55 K 1001 B
Sun Jul 29 21:07:05 2018,25547827,5,510000,24537,24423,24671,24536,24423,24671,0,22,81065,51478,198242,25108,518843 ~ 519054,2.290000 ~ 2.620000,0.572500 ~ 0.655000,5 ~ 114,6 M 650 K 28 B,3 M 710 K 232 B
