Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server UDP Session Count, Server UDP ARQ Session Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Mon Apr 19 06:46:03 2021,26980246,3,1000,4476,4476,4476,4476,4476,4476,0,0,175,175,175,421,3005,3005,0.010000 ~ 0.810000,0.001250 ~ 0.101250,0,3 M 569 K 781 B,2 M 3 K 137 B
Mon Apr 19 06:46:04 2021,26980246,4,3000,11811,11811,11811,11811,11811,11811,0,0,480,328,662,421,3005,3005,0.010000 ~ 0.810000,0.001250 ~ 0.101250,0,3 M 569 K 781 B,2 M 3 K 137 B
Mon Apr 19 06:46:05 2021,26980246,5,4000,12818,12818,12818,12818,12818,12818,0,0,1023,820,1423,421,3005,3005,0.010000 ~ 0.810000,0.001250 ~ 0.101250,0,3 M 569 K 781 B,2 M 3 K 137 B
Mon Apr 19 06:47:00 2021,26980247,0,6000,13730,13730,13730,13730,13730,13730,0,0,2238,1715,2835,5957,12202,12202,0.810000 ~ 3.350000,0.101250 ~ 0.418750,0 ~ 2,3 M 606 K 238 B,2 M 3 K 505 B
Mon Apr 19 06:47:01 2021,26980247,1,8000,14287,14287,14287,14287,14287,14287,0,0,3470,2529,4371,5957,12202,12202,0.810000 ~ 3.350000,0.101250 ~ 0.418750,0 ~ 2,3 M 606 K 238 B,2 M 3 K 505 B
Mon Apr 19 06:47:02 2021,26980247,2,9000,12405,12405,12405,12405,12405,12405,0,0,5115,4084,6362,5957,12202,12202,0.810000 ~ 3.350000,0.101250 ~ 0.418750,0 ~ 2,3 M 606 K 238 B,2 M 3 K 505 B
Mon Apr 19 06:47:03 2021,26980247,3,10000,11124,11124,11124,11124,11124,11124,0,0,6838,5711,7671,5957,12202,12202,0.810000 ~ 3.350000,0.101250 ~ 0.418750,0 ~ 2,3 M 606 K 238 B,2 M 3 K 505 B
Mon Apr 19 06:47:04 2021,26980247,4,11000,9938,9938,9938,9938,9938,9938,0,0,8908,7622,9711,5957,12202,12202,0.810000 ~ 3.350000,0.101250 ~ 0.418750,0 ~ 2,3 M 606 K 238 B,2 M 3 K 505 B
Mon Apr 19 06:47:05 2021,26980247,5,13000,9555,9555,9555,9555,9555,9555,0,1,11480,10191,14662,5957,12202,12202,0.810000 ~ 3.350000,0.101250 ~ 0.418750,0 ~ 2,3 M 606 K 238 B,2 M 3 K 505 B
Mon Apr 19 06:48:00 2021,26980248,0,14000,8556,8556,8556,8556,8556,8556,0,0,14291,12719,17028,11458,18599,18598,3.250000 ~ 5.100000,0.406250 ~ 0.637500,0 ~ 2,2 M 269 K 5 B,1 M 240 K 783 B
Mon Apr 19 06:48:01 2021,26980248,1,15000,7609,7609,7609,7609,7609,7609,0,0,17453,14909,20226,11458,18599,18598,3.250000 ~ 5.100000,0.406250 ~ 0.637500,0 ~ 2,2 M 269 K 5 B,1 M 240 K 783 B
Mon Apr 19 06:48:02 2021,26980248,2,16000,3934,3934,3934,3934,3934,3934,0,0,37647,23507,62076,11458,18599,18598,3.250000 ~ 5.100000,0.406250 ~ 0.637500,0 ~ 2,2 M 269 K 5 B,1 M 240 K 783 B
Mon Apr 19 06:48:03 2021,26980248,3,17000,2938,2938,2938,2938,2938,2938,0,0,55352,50354,62972,11458,18599,18598,3.250000 ~ 5.100000,0.406250 ~ 0.637500,0 ~ 2,2 M 269 K 5 B,1 M 240 K 783 B
Mon Apr 19 06:48:04 2021,26980248,4,18000,3145,3145,3145,3145,3145,3145,0,0,54669,47131,69372,11458,18599,18598,3.250000 ~ 5.100000,0.406250 ~ 0.637500,0 ~ 2,2 M 269 K 5 B,1 M 240 K 783 B
Mon Apr 19 06:48:05 2021,26980248,5,19000,2873,2873,2873,2873,2873,2873,0,0,63353,55980,76360,11458,18599,18598,3.250000 ~ 5.100000,0.406250 ~ 0.637500,0 ~ 2,2 M 269 K 5 B,1 M 240 K 783 B
Mon Apr 19 06:49:00 2021,26980249,0,20000,2719,2719,2719,2719,2719,2719,0,1,70940,56173,91146,4388,22103,22102,2.510000 ~ 3.600000,0.313750 ~ 0.450000,0 ~ 1,903 K 280 B,501 K 207 B
Mon Apr 19 06:49:02 2021,26980249,2,21000,2632,2577,2687,2632,2577,2687,0,1,77276,66620,92240,4388,22103,22102,2.510000 ~ 3.600000,0.313750 ~ 0.450000,0 ~ 1,903 K 280 B,501 K 207 B
Mon Apr 19 06:49:04 2021,26980249,4,22000,2480,2413,2548,2480,2413,2548,0,0,86325,70985,108344,4388,22103,22102,2.510000 ~ 3.600000,0.313750 ~ 0.450000,0 ~ 1,903 K 280 B,501 K 207 B
Mon Apr 19 06:49:05 2021,26980249,5,23000,2224,2224,2224,2224,2224,2224,0,0,100569,84909,112594,4388,22103,22102,2.510000 ~ 3.600000,0.313750 ~ 0.450000,0 ~ 1,903 K 280 B,501 K 207 B
Mon Apr 19 06:50:00 2021,26980250,0,23000,2158,2158,2158,2158,2158,2158,0,0,104157,92269,118438,2471,25001,25001,2.380000 ~ 2.760000,0.297500 ~ 0.345000,0 ~ 1,773 K 835 B,464 K 450 B
