Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server UDP Session Count, Server UDP ARQ Session Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Mon Apr 19 06:50:02 2021,26980250,2,24000,2052,1998,2105,2052,1998,2105,0,0,114947,95916,147726,2471,25001,25001,2.380000 ~ 2.760000,0.297500 ~ 0.345000,0 ~ 1,773 K 835 B,464 K 450 B
Mon Apr 19 06:50:04 2021,26980250,4,25000,1980,1950,2010,1980,1950,2010,0,0,123317,99071,146787,2471,25001,25001,2.380000 ~ 2.760000,0.297500 ~ 0.345000,0 ~ 1,773 K 835 B,464 K 450 B
Mon Apr 19 06:50:05 2021,26980250,5,26000,1857,1857,1857,1857,1857,1857,0,0,136637,112173,170945,2471,25001,25001,2.380000 ~ 2.760000,0.297500 ~ 0.345000,0 ~ 1,773 K 835 B,464 K 450 B
Mon Apr 19 06:51:01 2021,26980251,1,26000,1739,1726,1752,1739,1726,1752,0,0,145824,117912,181090,1979,27135,27134,2.440000 ~ 3.360000,0.305000 ~ 0.420000,0 ~ 12,610 K 433 B,418 K 426 B
Mon Apr 19 06:51:03 2021,26980251,3,27000,1671,1650,1691,1671,1650,1691,0,1,159803,135576,283099,1979,27135,27134,2.440000 ~ 3.360000,0.305000 ~ 0.420000,0 ~ 12,610 K 433 B,418 K 426 B
Mon Apr 19 06:51:05 2021,26980251,5,28000,1057,948,1166,1057,948,1166,0,3,262922,178032,540856,1979,27135,27134,2.440000 ~ 3.360000,0.305000 ~ 0.420000,0 ~ 12,610 K 433 B,418 K 426 B
Mon Apr 19 06:52:02 2021,26980252,2,28000,866,805,897,866,805,897,0,0,320577,243477,966989,1405,28458,28458,2.960000 ~ 3.390000,0.370000 ~ 0.423750,0,469 K 158 B,324 K 200 B
Mon Apr 19 06:52:05 2021,26980252,5,29000,845,828,876,845,828,876,0,0,338545,231021,1476768,1405,28458,28458,2.960000 ~ 3.390000,0.370000 ~ 0.423750,0,469 K 158 B,324 K 200 B
Mon Apr 19 06:53:02 2021,26980253,2,29000,774,770,780,774,770,780,0,4,372323,276349,3865856,857,29491,29491,2.710000 ~ 3.030000,0.338750 ~ 0.378750,0 ~ 2,427 K 288 B,295 K 318 B
Mon Apr 19 06:53:05 2021,26980253,5,30000,755,648,811,754,647,811,0,26,383156,285818,5337450,857,29491,29491,2.710000 ~ 3.030000,0.338750 ~ 0.378750,0 ~ 2,427 K 288 B,295 K 318 B
Mon Apr 19 06:54:05 2021,26980254,5,30000,728,681,772,727,680,771,0,81,402255,283157,1401111,748,29310,29304,2.680000 ~ 3.030000,0.335000 ~ 0.378750,0 ~ 1,419 K 123 B,295 K 889 B
Mon Apr 19 06:55:05 2021,26980255,5,30000,750,681,801,749,679,799,0,69,392786,284266,2110860,738,29837,29830,2.680000 ~ 2.930000,0.335000 ~ 0.366250,0 ~ 1,425 K 254 B,278 K 719 B
Mon Apr 19 06:56:05 2021,26980256,5,30000,723,658,773,723,657,772,0,50,411659,284225,3647288,748,29833,29830,2.630000 ~ 3.120000,0.328750 ~ 0.390000,0 ~ 3,389 K 533 B,280 K 895 B
Mon Apr 19 06:57:05 2021,26980257,5,30000,735,709,768,735,709,766,0,43,399045,262310,1017925,723,29885,29881,2.580000 ~ 2.810000,0.322500 ~ 0.351250,0 ~ 2,401 K 974 B,280 K 756 B
Mon Apr 19 06:58:05 2021,26980258,5,30000,734,671,778,733,669,778,0,61,402062,302371,1530830,729,29547,29541,2.520000 ~ 3.210000,0.315000 ~ 0.401250,0 ~ 4,406 K 496 B,291 K 692 B
Mon Apr 19 06:59:05 2021,26980259,5,30000,690,635,742,689,634,741,0,66,420024,286158,1772545,739,29773,29764,2.770000 ~ 3.170000,0.346250 ~ 0.396250,0 ~ 4,409 K 912 B,298 K 816 B
Mon Apr 19 07:00:05 2021,26980260,5,30000,708,625,773,706,622,771,0,119,413512,265981,1603822,693,29713,29695,2.810000 ~ 3.240000,0.351250 ~ 0.405000,0 ~ 1,417 K 298 B,282 K 533 B
Mon Apr 19 07:01:05 2021,26980261,5,30000,711,682,739,709,680,738,0,96,408085,286889,2121348,704,29823,29815,2.750000 ~ 3.050000,0.343750 ~ 0.381250,0 ~ 4,403 K 384 B,279 K 608 B
Mon Apr 19 07:02:05 2021,26980262,5,30000,741,716,758,740,713,758,0,102,398582,289714,2247412,711,29684,29668,2.830000 ~ 3.180000,0.353750 ~ 0.397500,0 ~ 1,402 K 128 B,282 K 305 B
Mon Apr 19 07:03:05 2021,26980263,5,30000,723,670,765,721,669,763,0,107,405001,277196,3417574,733,29402,29390,2.840000 ~ 3.100000,0.355000 ~ 0.387500,0 ~ 2,430 K 17 B,285 K 341 B
Mon Apr 19 07:04:05 2021,26980264,5,30000,743,698,793,742,696,792,0,71,392623,292043,1214264,727,29855,29845,2.600000 ~ 3.090000,0.325000 ~ 0.386250,0 ~ 1,420 K 176 B,278 K 827 B
Mon Apr 19 07:05:05 2021,26980265,5,30000,719,694,769,718,693,769,0,61,406379,287266,1168104,738,29734,29724,2.580000 ~ 3.040000,0.322500 ~ 0.380000,0 ~ 61,405 K 421 B,276 K 722 B
Mon Apr 19 07:06:05 2021,26980266,5,30000,709,654,751,707,652,749,0,93,413843,243048,2525958,721,29728,29724,2.630000 ~ 3.050000,0.328750 ~ 0.381250,0 ~ 2,404 K 1007 B,297 K 353 B
Mon Apr 19 07:07:05 2021,26980267,5,30000,744,697,782,742,696,780,0,103,395448,272912,4765733,710,29792,29767,2.590000 ~ 2.930000,0.323750 ~ 0.366250,0 ~ 2,416 K 143 B,286 K 459 B
Mon Apr 19 07:08:05 2021,26980268,5,30000,722,650,773,720,649,772,0,73,406759,290626,1614708,744,29825,29813,2.390000 ~ 2.640000,0.298750 ~ 0.330000,0 ~ 2,407 K 842 B,277 K 759 B
Mon Apr 19 07:09:05 2021,26980269,5,30000,748,734,766,747,733,764,0,56,389414,201860,1164305,719,29761,29752,2.420000 ~ 2.590000,0.302500 ~ 0.323750,0 ~ 2,406 K 869 B,282 K 952 B
Mon Apr 19 07:10:05 2021,26980270,5,30000,732,668,780,731,666,778,0,95,400741,230679,1579432,742,29746,29735,2.550000 ~ 2.770000,0.318750 ~ 0.346250,0 ~ 1,402 K 147 B,289 K 645 B
Mon Apr 19 07:11:05 2021,26980271,5,30000,736,715,773,735,714,772,0,57,403061,288846,2065587,737,29842,29833,2.380000 ~ 2.680000,0.297500 ~ 0.335000,0 ~ 3,400 K 127 B,287 K 492 B
Mon Apr 19 07:12:05 2021,26980272,5,30000,754,740,773,753,739,772,0,65,389779,299341,929417,735,29797,29790,2.510000 ~ 2.730000,0.313750 ~ 0.341250,0 ~ 3,409 K 849 B,279 K 751 B
Mon Apr 19 07:13:05 2021,26980273,5,30000,739,689,779,738,688,779,0,48,397391,306803,2142713,752,29848,29842,2.600000 ~ 2.810000,0.325000 ~ 0.351250,0 ~ 1,415 K 198 B,282 K 839 B
Mon Apr 19 07:14:05 2021,26980274,5,30000,737,702,791,737,701,791,0,42,397606,309887,1862205,738,29856,29852,2.520000 ~ 2.780000,0.315000 ~ 0.347500,0 ~ 1,400 K 885 B,285 K 346 B
Mon Apr 19 07:15:05 2021,26980275,5,30000,748,698,774,747,697,772,0,80,392579,269759,2025608,739,29774,29765,2.500000 ~ 2.720000,0.312500 ~ 0.340000,0 ~ 1,411 K 474 B,302 K 288 B
Mon Apr 19 07:16:05 2021,26980276,5,30000,726,653,774,725,653,773,0,64,398869,298594,1210507,747,29721,29708,2.370000 ~ 2.630000,0.296250 ~ 0.328750,0 ~ 4,404 K 743 B,276 K 919 B
Mon Apr 19 07:17:05 2021,26980277,5,30000,719,669,761,718,668,761,0,58,409543,267559,1327336,716,29780,29769,2.290000 ~ 2.800000,0.286250 ~ 0.350000,0 ~ 2,405 K 888 B,277 K 594 B
Mon Apr 19 07:18:05 2021,26980278,5,30000,735,696,761,734,695,760,0,58,403589,274363,2730993,722,29745,29733,2.430000 ~ 2.700000,0.303750 ~ 0.337500,0 ~ 2,404 K 584 B,281 K 219 B
Mon Apr 19 07:19:05 2021,26980279,5,30000,714,659,764,713,659,763,0,49,415028,291938,5023015,734,29763,29757,2.500000 ~ 2.820000,0.312500 ~ 0.352500,0 ~ 2,414 K 256 B,285 K 794 B
Mon Apr 19 07:20:05 2021,26980280,5,30000,704,642,769,703,641,766,0,95,411864,248659,6274650,722,29902,29895,2.620000 ~ 3.230000,0.327500 ~ 0.403750,0,408 K 503 B,290 K 801 B
Mon Apr 19 07:21:05 2021,26980281,5,30000,718,671,810,715,670,806,0,146,408264,286793,4300099,695,29585,29566,2.790000 ~ 3.020000,0.348750 ~ 0.377500,0 ~ 1,428 K 210 B,293 K 807 B
Mon Apr 19 07:22:05 2021,26980282,5,30000,694,641,728,692,639,728,0,76,418532,276548,5241068,716,29819,29806,3.280000 ~ 3.500000,0.410000 ~ 0.437500,1 ~ 37,402 K 751 B,276 K 488 B
Mon Apr 19 07:23:05 2021,26980283,5,30000,737,689,785,735,688,783,0,100,402352,279743,1547387,696,29822,29808,3.170000 ~ 3.440000,0.396250 ~ 0.430000,0 ~ 37,414 K 908 B,284 K 996 B
Mon Apr 19 07:24:05 2021,26980284,5,30000,735,632,802,734,631,800,0,88,393751,169891,1323021,730,29715,29708,3.020000 ~ 3.150000,0.377500 ~ 0.393750,0 ~ 1,413 K 883 B,279 K 295 B
Mon Apr 19 07:25:05 2021,26980285,5,30000,741,659,778,740,658,777,0,68,398083,250425,4967476,744,29644,29635,2.540000 ~ 2.930000,0.317500 ~ 0.366250,0 ~ 1,404 K 667 B,277 K 1000 B
Mon Apr 19 07:26:05 2021,26980286,5,30000,749,675,781,748,675,779,0,61,386078,285101,963949,739,29780,29765,2.630000 ~ 2.940000,0.328750 ~ 0.367500,0 ~ 1,415 K 650 B,296 K 551 B
Mon Apr 19 07:27:05 2021,26980287,5,30000,750,702,792,749,700,791,0,62,392479,280632,3317416,750,29647,29636,2.600000 ~ 3.050000,0.325000 ~ 0.381250,0 ~ 4,437 K 520 B,296 K 581 B
Mon Apr 19 07:28:05 2021,26980288,5,30000,724,683,767,723,682,766,0,62,404235,252872,3186639,746,29765,29758,2.580000 ~ 2.990000,0.322500 ~ 0.373750,0 ~ 4,409 K 947 B,287 K 345 B
Mon Apr 19 07:29:05 2021,26980289,5,30000,768,733,796,767,733,793,0,76,382647,300222,603351,726,29862,29849,2.890000 ~ 3.200000,0.361250 ~ 0.400000,0 ~ 2,424 K 691 B,293 K 788 B
Mon Apr 19 07:30:05 2021,26980290,5,30000,729,665,766,728,664,765,0,50,402833,302899,1770219,768,29816,29813,2.810000 ~ 2.960000,0.351250 ~ 0.370000,0 ~ 2,404 K 667 B,285 K 313 B
Mon Apr 19 07:31:05 2021,26980291,5,30000,714,654,763,712,653,759,0,122,401978,261624,9557683,725,29427,29414,2.790000 ~ 4.050000,0.348750 ~ 0.506250,0 ~ 5,432 K 510 B,287 K 378 B
Mon Apr 19 07:32:05 2021,26980292,5,30000,717,653,777,716,651,776,0,76,403842,283414,1325871,717,29789,29780,3.340000 ~ 3.830000,0.417500 ~ 0.478750,0 ~ 5,426 K 184 B,272 K 543 B
Mon Apr 19 07:33:05 2021,26980293,5,30000,709,666,744,707,665,742,0,116,418278,259352,2765943,710,29594,29574,3.090000 ~ 3.330000,0.386250 ~ 0.416250,0 ~ 2,433 K 259 B,289 K 160 B
Mon Apr 19 07:34:05 2021,26980294,5,30000,711,631,738,710,630,737,0,83,410937,278379,4197873,712,29660,29655,3.160000 ~ 3.490000,0.395000 ~ 0.436250,0 ~ 4,431 K 651 B,281 K 189 B
Mon Apr 19 07:35:05 2021,26980295,5,30000,760,710,811,759,709,809,0,87,385175,269024,3658657,712,29793,29782,2.930000 ~ 3.310000,0.366250 ~ 0.413750,0 ~ 4,421 K 684 B,282 K 890 B
Mon Apr 19 07:36:05 2021,26980296,5,30000,742,693,794,741,692,793,0,48,390897,303181,1746559,758,29791,29782,2.580000 ~ 3.210000,0.322500 ~ 0.401250,0 ~ 1,399 K 837 B,279 K 665 B
Mon Apr 19 07:37:05 2021,26980297,5,30000,757,698,800,756,697,799,0,81,387854,272820,1440738,734,29693,29682,2.440000 ~ 2.690000,0.305000 ~ 0.336250,0 ~ 16,421 K 711 B,285 K 649 B
Mon Apr 19 07:38:05 2021,26980298,5,30000,764,743,800,763,742,799,0,61,385432,277375,1979237,770,29785,29779,2.690000 ~ 2.990000,0.336250 ~ 0.373750,0 ~ 1,412 K 162 B,286 K 127 B
Mon Apr 19 07:39:05 2021,26980299,5,30000,761,727,792,760,726,790,0,73,386211,271781,6823428,759,29797,29787,2.800000 ~ 2.980000,0.350000 ~ 0.372500,0 ~ 4,414 K 40 B,287 K 281 B
Mon Apr 19 07:40:05 2021,26980300,5,30000,741,718,784,740,717,783,0,47,395521,260479,5347190,761,29814,29807,2.810000 ~ 3.060000,0.351250 ~ 0.382500,0 ~ 4,406 K 317 B,279 K 937 B
Mon Apr 19 07:41:05 2021,26980301,5,30000,734,706,751,732,706,749,0,82,398422,262871,1492700,739,29739,29733,2.610000 ~ 3.060000,0.326250 ~ 0.382500,0,410 K 781 B,286 K 193 B
Mon Apr 19 07:42:05 2021,26980302,5,30000,738,704,756,737,702,755,0,59,397369,208825,2391694,732,29784,29777,2.450000 ~ 2.870000,0.306250 ~ 0.358750,0 ~ 1,412 K 128 B,284 K 9 B
Mon Apr 19 07:43:05 2021,26980303,5,30000,751,704,796,749,702,794,0,133,391392,273838,3556892,741,29739,29721,2.450000 ~ 2.770000,0.306250 ~ 0.346250,0 ~ 1,415 K 145 B,277 K 571 B
Mon Apr 19 07:44:05 2021,26980304,5,30000,741,708,780,739,706,779,0,78,391899,202933,2587584,745,29560,29553,2.660000 ~ 2.900000,0.332500 ~ 0.362500,0 ~ 4,422 K 850 B,291 K 719 B
Mon Apr 19 07:45:05 2021,26980305,5,30000,732,686,781,731,685,780,0,57,403919,290170,2821347,740,29775,29767,2.710000 ~ 3.270000,0.338750 ~ 0.408750,0 ~ 3,407 K 145 B,287 K 530 B
Mon Apr 19 07:46:05 2021,26980306,5,30000,710,654,771,708,651,768,0,125,406907,283352,2453917,733,29705,29695,2.950000 ~ 3.580000,0.368750 ~ 0.447500,0 ~ 3,426 K 392 B,292 K 585 B
Mon Apr 19 07:47:05 2021,26980307,5,30000,572,464,744,570,459,743,0,136,511728,297947,2351586,710,29498,29475,3.450000 ~ 3.990000,0.431250 ~ 0.498750,0 ~ 1,425 K 292 B,278 K 90 B
Mon Apr 19 07:48:05 2021,26980308,5,30000,349,155,486,339,143,472,0,583,838762,481518,2214309,547,20155,20085,3.740000 ~ 7.250000,0.467500 ~ 0.906250,0 ~ 8,1 M 256 K 848 B,272 K 630 B
