Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server UDP Session Count, Server UDP ARQ Session Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Mon Apr 19 12:35:03 2021,26980595,3,1000,9374,9374,9374,9374,9374,9374,0,0,508,508,508,154,3020,3020,0.000000 ~ 1.440000,0.000000 ~ 0.360000,0,3 M 784 K 176 B,2 M 123 K 612 B
Mon Apr 19 12:35:04 2021,26980595,4,3000,14150,14150,14150,14150,14150,14150,0,0,1561,1031,2485,154,3020,3020,0.000000 ~ 1.440000,0.000000 ~ 0.360000,0,3 M 784 K 176 B,2 M 123 K 612 B
Mon Apr 19 12:35:05 2021,26980595,5,5000,9265,9265,9265,9265,9265,9265,0,0,4835,3495,6437,154,3020,3020,0.000000 ~ 1.440000,0.000000 ~ 0.360000,0,3 M 784 K 176 B,2 M 123 K 612 B
Mon Apr 19 12:36:00 2021,26980596,0,6000,8761,8761,8761,8761,8761,8761,0,0,6289,5612,7086,6311,11351,11351,1.440000 ~ 4.020000,0.360000 ~ 1.005000,0 ~ 10,2 M 493 K 163 B,1 M 383 K 579 B
Mon Apr 19 12:36:01 2021,26980596,1,8000,8211,8211,8211,8211,8211,8211,0,0,9092,7836,11201,6311,11351,11351,1.440000 ~ 4.020000,0.360000 ~ 1.005000,0 ~ 10,2 M 493 K 163 B,1 M 383 K 579 B
Mon Apr 19 12:36:02 2021,26980596,2,9000,6952,6952,6952,6952,6952,6952,0,0,12137,10472,15110,6311,11351,11351,1.440000 ~ 4.020000,0.360000 ~ 1.005000,0 ~ 10,2 M 493 K 163 B,1 M 383 K 579 B
Mon Apr 19 12:36:03 2021,26980596,3,10000,4163,4163,4163,4162,4162,4162,0,1,22890,15153,42361,6311,11351,11351,1.440000 ~ 4.020000,0.360000 ~ 1.005000,0 ~ 10,2 M 493 K 163 B,1 M 383 K 579 B
Mon Apr 19 12:36:04 2021,26980596,4,11000,1761,1761,1761,1760,1760,1760,0,1,61971,43293,72326,6311,11351,11351,1.440000 ~ 4.020000,0.360000 ~ 1.005000,0 ~ 10,2 M 493 K 163 B,1 M 383 K 579 B
Mon Apr 19 12:36:05 2021,26980596,5,12000,2339,2339,2339,2339,2339,2339,0,0,50323,45322,76042,6311,11351,11351,1.440000 ~ 4.020000,0.360000 ~ 1.005000,0 ~ 10,2 M 493 K 163 B,1 M 383 K 579 B
Mon Apr 19 12:37:00 2021,26980597,0,13000,1627,1627,1627,1627,1627,1627,0,0,78342,70152,83404,4706,15867,15867,2.460000 ~ 3.620000,0.615000 ~ 0.905000,0 ~ 1,733 K 429 B,403 K 139 B
Mon Apr 19 12:37:01 2021,26980597,1,14000,1610,1610,1610,1610,1610,1610,0,0,85613,77540,93380,4706,15867,15867,2.460000 ~ 3.620000,0.615000 ~ 0.905000,0 ~ 1,733 K 429 B,403 K 139 B
Mon Apr 19 12:37:03 2021,26980597,3,15000,1555,1493,1618,1555,1493,1618,0,0,94983,81089,103605,4706,15867,15867,2.460000 ~ 3.620000,0.615000 ~ 0.905000,0 ~ 1,733 K 429 B,403 K 139 B
Mon Apr 19 12:37:05 2021,26980597,5,16000,1516,1488,1545,1516,1488,1545,0,1,104198,96449,116270,4706,15867,15867,2.460000 ~ 3.620000,0.615000 ~ 0.905000,0 ~ 1,733 K 429 B,403 K 139 B
Mon Apr 19 12:38:01 2021,26980598,1,16000,1492,1491,1493,1492,1491,1492,0,1,106628,99819,117565,1548,17688,17688,2.060000 ~ 2.510000,0.515000 ~ 0.627500,0 ~ 1,648 K 988 B,383 K 132 B
Mon Apr 19 12:38:03 2021,26980598,3,17000,1502,1476,1527,1502,1476,1527,0,0,112279,102556,130444,1548,17688,17688,2.060000 ~ 2.510000,0.515000 ~ 0.627500,0 ~ 1,648 K 988 B,383 K 132 B
Mon Apr 19 12:38:05 2021,26980598,5,18000,1412,1402,1423,1412,1402,1423,0,0,126540,102719,144181,1548,17688,17688,2.060000 ~ 2.510000,0.515000 ~ 0.627500,0 ~ 1,648 K 988 B,383 K 132 B
Mon Apr 19 12:39:01 2021,26980599,1,19000,1285,1251,1319,1285,1251,1319,0,0,146109,115138,226814,1462,20001,20001,1.540000 ~ 2.060000,0.385000 ~ 0.515000,0 ~ 1,563 K 939 B,384 K 174 B
Mon Apr 19 12:39:04 2021,26980599,4,20000,1329,1275,1368,1329,1275,1368,0,0,150233,123218,209115,1462,20001,20001,1.540000 ~ 2.060000,0.385000 ~ 0.515000,0 ~ 1,563 K 939 B,384 K 174 B
Mon Apr 19 12:39:05 2021,26980599,5,21000,1356,1356,1356,1356,1356,1356,0,0,153794,136336,172366,1462,20001,20001,1.540000 ~ 2.060000,0.385000 ~ 0.515000,0 ~ 1,563 K 939 B,384 K 174 B
Mon Apr 19 12:40:01 2021,26980600,1,21000,1322,1313,1330,1322,1313,1330,0,0,158468,136487,179379,1296,22072,22072,1.680000 ~ 2.380000,0.420000 ~ 0.595000,0 ~ 3,551 K 799 B,347 K 528 B
Mon Apr 19 12:40:04 2021,26980600,4,22000,1300,1258,1362,1300,1258,1362,0,0,168294,143188,202778,1296,22072,22072,1.680000 ~ 2.380000,0.420000 ~ 0.595000,0 ~ 3,551 K 799 B,347 K 528 B
Mon Apr 19 12:40:05 2021,26980600,5,23000,1239,1239,1239,1239,1239,1239,0,0,183681,164195,211803,1296,22072,22072,1.680000 ~ 2.380000,0.420000 ~ 0.595000,0 ~ 3,551 K 799 B,347 K 528 B
Mon Apr 19 12:41:01 2021,26980601,1,23000,1140,1069,1211,1140,1069,1211,0,0,199955,154847,282485,1292,23975,23975,1.760000 ~ 2.280000,0.440000 ~ 0.570000,0 ~ 3,494 K 341 B,326 K 513 B
Mon Apr 19 12:41:05 2021,26980601,5,24000,1056,975,1232,1056,975,1232,0,10,224760,159649,455939,1292,23975,23975,1.760000 ~ 2.280000,0.440000 ~ 0.570000,0 ~ 3,494 K 341 B,326 K 513 B
