Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server UDP Session Count, Server UDP ARQ Session Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Wed Apr  7 09:21:19 2021,26963121,19,100,48055,48036,48060,48055,48037,48061,0,0,278,274,288,86279,101,101,0.020000 ~ 1.030000,0.005000 ~ 0.257500,0,13 M 136 K 716 B,5 M 736 K 503 B
Wed Apr  7 09:22:19 2021,26963122,19,100,48057,48052,48062,48057,48053,48063,0,0,277,274,281,36731,101,101,0.950000 ~ 2.300000,0.237500 ~ 0.575000,0,13 M 92 K 588 B,5 M 691 K 906 B
Wed Apr  7 09:23:19 2021,26963123,19,100,48064,48047,48072,48064,48047,48072,0,0,274,270,280,48017,101,101,2.140000 ~ 2.950000,0.535000 ~ 0.737500,0,13 M 89 K 916 B,5 M 698 K 493 B
Wed Apr  7 09:24:19 2021,26963124,19,100,48066,48061,48071,48066,48062,48071,0,0,273,271,277,48022,101,101,2.560000 ~ 3.370000,0.640000 ~ 0.842500,0,13 M 91 K 721 B,5 M 697 K 792 B
Wed Apr  7 09:25:19 2021,26963125,19,100,48068,48062,48071,48068,48062,48072,0,0,272,270,276,48022,101,101,3.160000 ~ 3.960000,0.790000 ~ 0.990000,0,13 M 89 K 168 B,5 M 695 K 461 B
Wed Apr  7 09:26:06 2021,26963126,6,100,48066,48052,48071,48065,48049,48072,0,0,288,269,386,48174,201,201,3.800000 ~ 4.740000,0.950000 ~ 1.185000,0,26 M 71 K 386 B,11 M 404 K 604 B
Wed Apr  7 09:26:19 2021,26963126,19,200,96065,96017,96074,96065,96009,96086,0,0,412,393,471,48174,201,201,3.800000 ~ 4.740000,0.950000 ~ 1.185000,0,26 M 71 K 386 B,11 M 404 K 604 B
Wed Apr  7 09:27:19 2021,26963127,19,200,96067,96057,96076,96067,96059,96078,0,0,403,391,420,81181,201,201,4.740000 ~ 5.290000,1.185000 ~ 1.322500,0,26 M 71 K 642 B,11 M 405 K 104 B
Wed Apr  7 09:28:19 2021,26963128,19,200,96082,96072,96089,96082,96072,96090,0,0,399,385,426,96176,201,201,5.290000 ~ 6.400000,1.322500 ~ 1.600000,0,26 M 88 K 484 B,11 M 404 K 224 B
Wed Apr  7 09:29:19 2021,26963129,19,200,96082,96004,96093,96082,96002,96093,0,0,398,387,425,96188,201,201,6.020000 ~ 6.620000,1.505000 ~ 1.655000,0,26 M 84 K 157 B,11 M 405 K 53 B
Wed Apr  7 09:30:19 2021,26963130,19,200,96078,96039,96088,96078,96042,96086,0,0,400,390,414,95894,201,201,6.060000 ~ 6.790000,1.515000 ~ 1.697500,0,26 M 72 K 590 B,11 M 412 K 183 B
Wed Apr  7 09:31:07 2021,26963131,7,200,96077,96037,96088,95352,90240,96088,0,1,1352,385,17602,96188,301,301,5.760000 ~ 6.640000,1.440000 ~ 1.660000,0,108 M 189 K 141 B,13 M 236 K 62 B
Wed Apr  7 09:31:19 2021,26963131,19,300,142584,142091,143109,127972,103958,142795,0,14,2239001,222230,3786109,96188,301,301,5.760000 ~ 6.640000,1.440000 ~ 1.660000,0,108 M 189 K 141 B,13 M 236 K 62 B
