Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Fri Apr  9 02:09:19 2021,26965569,19,10,17848,17071,17917,17785,16207,17925,0,0,148187,147751,153651,210516,4 ~ 15,0.010000 ~ 0.380000,0.002500 ~ 0.095000,0 ~ 138,2 M 608 K 80 B,762 K 828 B
Fri Apr  9 02:10:19 2021,26965570,19,10,17910,17905,17918,17911,17891,17930,0,0,147821,147735,147896,12503,15,0.170000 ~ 0.280000,0.042500 ~ 0.070000,137 ~ 138,2 M 607 K 825 B,763 K 96 B
Fri Apr  9 02:11:19 2021,26965571,19,10,17912,17901,17919,17913,17889,17928,0,0,147836,147727,147925,17911,15,0.100000 ~ 0.470000,0.025000 ~ 0.117500,137,2 M 608 K 632 B,763 K 207 B
Fri Apr  9 02:12:19 2021,26965572,19,10,17914,17909,17920,17914,17894,17930,0,0,147825,147778,147888,17921,15,0.550000 ~ 0.910000,0.137500 ~ 0.227500,137,2 M 608 K 35 B,762 K 1001 B
Fri Apr  9 02:13:19 2021,26965573,19,10,17910,17906,17913,17910,17887,17927,0,0,147953,147816,148105,17919,15,0.500000 ~ 0.860000,0.125000 ~ 0.215000,137,2 M 607 K 863 B,763 K 261 B
Fri Apr  9 02:14:07 2021,26965574,7,10,17911,17905,17915,17908,17881,17931,0,0,148008,147908,148151,17910,15 ~ 25,0.480000 ~ 0.890000,0.120000 ~ 0.222500,137,5 M 198 K 872 B,1 M 498 K 97 B
Fri Apr  9 02:14:19 2021,26965574,19,20,35811,35056,35886,35738,34180,35900,0,0,147830,146891,152790,17910,15 ~ 25,0.480000 ~ 0.890000,0.120000 ~ 0.222500,137,5 M 198 K 872 B,1 M 498 K 97 B
Fri Apr  9 02:15:19 2021,26965575,19,20,35880,35868,35886,35880,35861,35900,0,0,147631,146925,148362,29290,25,0.410000 ~ 1.070000,0.102500 ~ 0.267500,137,5 M 198 K 174 B,1 M 500 K 5 B
Fri Apr  9 02:16:19 2021,26965576,19,20,35885,35865,35890,35885,35857,35915,0,0,147608,146844,148381,35840,25,0.550000 ~ 1.010000,0.137500 ~ 0.252500,137,5 M 200 K 363 B,1 M 499 K 322 B
Fri Apr  9 02:17:19 2021,26965577,19,20,35887,35864,35897,35887,35867,35914,0,0,147593,146835,148345,35843,25,0.360000 ~ 0.910000,0.090000 ~ 0.227500,137,5 M 201 K 179 B,1 M 499 K 54 B
Fri Apr  9 02:18:19 2021,26965578,19,20,35887,35881,35893,35886,35858,35916,0,0,147574,146816,148335,35966,25,0.330000 ~ 0.920000,0.082500 ~ 0.230000,137,5 M 200 K 83 B,1 M 498 K 959 B
Fri Apr  9 02:19:08 2021,26965579,8,20,35888,35884,35891,35891,35868,35911,0,0,147648,147018,148322,35860,25 ~ 35,0.850000 ~ 1.270000,0.212500 ~ 0.317500,137,7 M 807 K 867 B,2 M 227 K 113 B
Fri Apr  9 02:19:19 2021,26965579,19,30,53726,52983,53811,53643,52093,53850,0,0,148279,147199,154788,35860,25 ~ 35,0.850000 ~ 1.270000,0.212500 ~ 0.317500,137,7 M 807 K 867 B,2 M 227 K 113 B
Fri Apr  9 02:20:19 2021,26965580,19,30,53790,53776,53801,53790,53758,53832,0,0,148090,147225,148588,45986,35,0.820000 ~ 1.180000,0.205000 ~ 0.295000,137,7 M 807 K 944 B,2 M 226 K 939 B
Fri Apr  9 02:21:19 2021,26965581,19,30,53798,53788,53805,53797,53772,53824,0,0,148112,147262,148680,53831,35,1.020000 ~ 1.490000,0.255000 ~ 0.372500,137,7 M 808 K 733 B,2 M 227 K 789 B
Fri Apr  9 02:22:19 2021,26965582,19,30,53795,53780,53808,53796,53760,53832,0,0,148101,147224,148603,53680,35,0.790000 ~ 1.530000,0.197500 ~ 0.382500,137 ~ 138,7 M 809 K 275 B,2 M 227 K 61 B
Fri Apr  9 02:23:19 2021,26965583,19,30,53797,53782,53806,53798,53766,53822,0,0,148099,147201,148596,53847,35,0.740000 ~ 1.080000,0.185000 ~ 0.270000,137 ~ 138,7 M 807 K 380 B,2 M 227 K 601 B
Fri Apr  9 02:24:10 2021,26965584,10,30,53791,53784,53799,53790,53753,53816,0,0,148151,147276,148647,53855,35 ~ 45,0.780000 ~ 1.290000,0.195000 ~ 0.322500,137 ~ 138,10 M 396 K 866 B,2 M 979 K 235 B
Fri Apr  9 02:24:19 2021,26965584,19,40,71676,70938,71780,71579,70053,71796,0,0,148408,147457,154005,53855,35 ~ 45,0.780000 ~ 1.290000,0.195000 ~ 0.322500,137 ~ 138,10 M 396 K 866 B,2 M 979 K 235 B
Fri Apr  9 02:25:19 2021,26965585,19,40,71765,71739,71773,71764,71728,71805,0,0,148262,147429,148819,62619,45,1.060000 ~ 1.790000,0.265000 ~ 0.447500,137,10 M 397 K 781 B,2 M 978 K 709 B
Fri Apr  9 02:26:19 2021,26965586,19,40,71760,71749,71770,71760,71705,71808,0,0,148201,147514,148818,71740,45,1.420000 ~ 2.360000,0.355000 ~ 0.590000,137,10 M 398 K 24 B,2 M 977 K 51 B
Fri Apr  9 02:27:19 2021,26965587,19,40,71768,71751,71780,71769,71714,71811,0,0,148152,147471,148814,71725,45,1.980000 ~ 2.370000,0.495000 ~ 0.592500,137 ~ 138,10 M 399 K 588 B,2 M 978 K 663 B
Fri Apr  9 02:28:19 2021,26965588,19,40,71768,71758,71781,71768,71711,71822,0,0,148155,147427,148791,71743,45,1.590000 ~ 2.360000,0.397500 ~ 0.590000,137,10 M 401 K 180 B,2 M 981 K 336 B
Fri Apr  9 02:29:11 2021,26965589,11,40,71774,71767,71789,71774,71740,71799,0,0,148257,147607,148986,71740,45 ~ 55,2.220000 ~ 3.530000,0.555000 ~ 0.882500,137 ~ 138,12 M 1015 K 772 B,3 M 703 K 437 B
Fri Apr  9 02:29:19 2021,26965589,19,50,89636,88907,89751,89522,88016,89748,0,0,148618,147889,154416,71740,45 ~ 55,2.220000 ~ 3.530000,0.555000 ~ 0.882500,137 ~ 138,12 M 1015 K 772 B,3 M 703 K 437 B
Fri Apr  9 02:30:19 2021,26965590,19,50,89735,89718,89752,89734,89680,89778,0,0,148525,148074,149203,79451,55,2.330000 ~ 2.860000,0.582500 ~ 0.715000,138,12 M 1016 K 164 B,3 M 702 K 525 B
Fri Apr  9 02:31:19 2021,26965591,19,50,89738,89723,89754,89738,89703,89776,0,0,148498,148070,149220,89851,55,2.070000 ~ 2.880000,0.517500 ~ 0.720000,138,12 M 1014 K 97 B,3 M 701 K 384 B
Fri Apr  9 02:32:19 2021,26965592,19,50,89738,89717,89757,89739,89686,89794,0,0,148477,148076,149018,89597,55,1.750000 ~ 2.770000,0.437500 ~ 0.692500,138,12 M 1015 K 598 B,3 M 702 K 328 B
Fri Apr  9 02:33:19 2021,26965593,19,50,89736,89724,89747,89736,89677,89779,0,0,148464,148045,149039,89879,55,1.180000 ~ 1.950000,0.295000 ~ 0.487500,138,12 M 1014 K 590 B,3 M 702 K 167 B
