Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Fri Apr  9 08:36:19 2021,26965956,19,100,9911,9491,9966,9858,8619,10008,0,0,257826,229406,261159,0,5 ~ 106,0.030000 ~ 0.100000,0.007500 ~ 0.025000,138,1 M 523 K 500 B,454 K 341 B
Fri Apr  9 08:37:19 2021,26965957,19,100,9940,9933,9966,9936,9840,10011,0,0,262436,261241,263174,8153,106,0.040000 ~ 0.090000,0.010000 ~ 0.022500,138,1 M 487 K 945 B,412 K 334 B
Fri Apr  9 08:38:19 2021,26965958,19,100,9941,9933,9966,9944,9909,10000,0,0,263060,262847,263144,9942,106,0.010000 ~ 0.090000,0.002500 ~ 0.022500,138,1 M 490 K 759 B,412 K 508 B
Fri Apr  9 08:39:19 2021,26965959,19,100,9939,9933,9966,9938,9885,9965,0,0,263043,262923,263139,9937,106,0.060000 ~ 0.170000,0.015000 ~ 0.042500,138 ~ 139,1 M 480 K 794 B,411 K 666 B
Fri Apr  9 08:40:19 2021,26965960,19,100,9938,9933,9966,9940,9888,10004,0,0,263077,262934,263168,9940,106,0.020000 ~ 0.060000,0.005000 ~ 0.015000,139 ~ 140,1 M 481 K 494 B,412 K 229 B
Fri Apr  9 08:41:04 2021,26965961,4,100,9940,9933,9966,9938,9902,9962,0,0,263062,262994,263164,9937,106 ~ 206,0.010000 ~ 0.020000,0.002500 ~ 0.005000,139 ~ 140,3 M 18 K 21 B,873 K 815 B
Fri Apr  9 08:41:19 2021,26965961,19,200,19851,19418,19907,19795,18555,19937,0,0,260092,232377,263050,9937,106 ~ 206,0.010000 ~ 0.020000,0.002500 ~ 0.005000,139 ~ 140,3 M 18 K 21 B,873 K 815 B
Fri Apr  9 08:42:19 2021,26965962,19,200,19880,19866,19928,19879,19799,19959,0,0,263045,260290,264919,17460,206,0.010000 ~ 0.380000,0.002500 ~ 0.095000,139 ~ 140,2 M 959 K 438 B,822 K 787 B
Fri Apr  9 08:43:19 2021,26965963,19,200,19882,19866,19918,19882,19810,19944,0,0,263742,262726,265011,19868,206,0.230000 ~ 0.530000,0.057500 ~ 0.132500,139,2 M 963 K 433 B,823 K 860 B
Fri Apr  9 08:44:19 2021,26965964,19,200,19882,19867,19922,19883,19828,19936,0,0,263783,262794,264864,19864,206,0.300000 ~ 0.570000,0.075000 ~ 0.142500,139,2 M 961 K 662 B,822 K 314 B
