Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Thu Apr  8 12:17:19 2021,26964737,19,100,9898,9488,9949,9810,8606,9998,0,0,254633,247241,256412,0,3 ~ 104,0.010000 ~ 0.250000,0.002500 ~ 0.062500,138,1 M 489 K 347 B,452 K 949 B
Thu Apr  8 12:18:19 2021,26964738,19,100,9940,9933,9966,9941,9915,9970,0,0,255643,254879,256507,4952,104,0.370000 ~ 0.620000,0.092500 ~ 0.155000,138,1 M 492 K 682 B,413 K 417 B
Thu Apr  8 12:19:19 2021,26964739,19,100,9940,9933,9966,9940,9884,9994,0,0,255705,255169,256172,9947,104,0.260000 ~ 0.560000,0.065000 ~ 0.140000,138,1 M 486 K 270 B,410 K 615 B
Thu Apr  8 12:20:19 2021,26964740,19,100,9938,9933,9966,9937,9896,9980,0,0,255773,255435,256087,9924,104,0.190000 ~ 0.540000,0.047500 ~ 0.135000,137 ~ 138,1 M 487 K 846 B,409 K 755 B
Thu Apr  8 12:21:19 2021,26964741,19,100,9940,9933,9966,9939,9910,9966,0,0,256135,255841,256359,9951,104,0.260000 ~ 0.660000,0.065000 ~ 0.165000,137,1 M 485 K 110 B,409 K 776 B
Thu Apr  8 12:22:11 2021,26964742,11,100,9938,9933,9966,9940,9898,9981,0,0,256258,255988,256530,9921,104 ~ 204,0.130000 ~ 0.320000,0.032500 ~ 0.080000,136 ~ 137,2 M 971 K 22 B,840 K 432 B
Thu Apr  8 12:22:19 2021,26964742,19,200,19828,19428,19909,19722,18519,19982,0,0,255286,249524,257452,9921,104 ~ 204,0.130000 ~ 0.320000,0.032500 ~ 0.080000,136 ~ 137,2 M 971 K 22 B,840 K 432 B
Thu Apr  8 12:23:19 2021,26964743,19,200,19882,19867,19916,19880,19807,19927,0,0,255710,253702,256759,14227,204,0.100000 ~ 0.750000,0.025000 ~ 0.187500,137,2 M 965 K 112 B,820 K 915 B
Thu Apr  8 12:24:19 2021,26964744,19,200,19883,19869,19918,19885,19842,19937,0,0,255967,254860,256552,19913,204,0.490000 ~ 1.010000,0.122500 ~ 0.252500,137,2 M 967 K 36 B,818 K 700 B
Thu Apr  8 12:25:19 2021,26964745,19,200,19884,19869,19913,19883,19833,19933,0,0,255856,254800,256692,19859,204,0.710000 ~ 1.310000,0.177500 ~ 0.327500,137,2 M 966 K 430 B,820 K 250 B
Thu Apr  8 12:26:19 2021,26964746,19,200,19882,19870,19910,19882,19840,19936,0,0,256022,254456,257093,19858,204,0.560000 ~ 1.010000,0.140000 ~ 0.252500,137,2 M 966 K 536 B,817 K 943 B
Thu Apr  8 12:27:12 2021,26964747,12,200,19882,19870,19916,19881,19821,19925,0,0,255827,254729,256572,19919,204 ~ 304,0.310000 ~ 0.510000,0.077500 ~ 0.127500,137,4 M 447 K 363 B,1 M 271 K 190 B
Thu Apr  8 12:27:19 2021,26964747,19,300,29756,29374,29832,29647,28614,29854,0,0,248558,230230,256660,19919,204 ~ 304,0.310000 ~ 0.510000,0.077500 ~ 0.127500,137,4 M 447 K 363 B,1 M 271 K 190 B
Thu Apr  8 12:28:19 2021,26964748,19,300,29822,29805,29877,29818,29731,29920,0,0,252160,233012,256756,23462,304,0.330000 ~ 0.890000,0.082500 ~ 0.222500,137,4 M 446 K 556 B,1 M 229 K 674 B
Thu Apr  8 12:29:19 2021,26964749,19,300,29823,29805,29876,29824,29726,29918,0,0,253989,245081,256663,29806,304,0.510000 ~ 1.310000,0.127500 ~ 0.327500,137,4 M 433 K 469 B,1 M 217 K 145 B
Thu Apr  8 12:30:19 2021,26964750,19,300,29822,29806,29861,29823,29742,29881,0,0,254438,249534,256558,29804,304,0.620000 ~ 1.180000,0.155000 ~ 0.295000,137,4 M 432 K 1023 B,1 M 212 K 854 B
Thu Apr  8 12:31:19 2021,26964751,19,300,29821,29804,29848,29823,29740,29901,0,0,255131,251565,256895,29892,304,0.530000 ~ 1.290000,0.132500 ~ 0.322500,137,4 M 432 K 454 B,1 M 212 K 624 B
Thu Apr  8 12:32:14 2021,26964752,14,300,29822,29806,29877,29820,29756,29901,0,0,255285,253021,256396,29797,304 ~ 404,0.820000 ~ 1.380000,0.205000 ~ 0.345000,137,5 M 929 K 307 B,1 M 639 K 883 B
Thu Apr  8 12:32:19 2021,26964752,19,400,39676,39310,39789,39505,38465,39784,0,0,255251,247895,256615,29797,304 ~ 404,0.820000 ~ 1.380000,0.205000 ~ 0.345000,137,5 M 929 K 307 B,1 M 639 K 883 B
Thu Apr  8 12:33:19 2021,26964753,19,400,39766,39743,39797,39765,39678,39858,0,0,254937,251921,256440,32696,404,0.810000 ~ 1.220000,0.202500 ~ 0.305000,137,5 M 908 K 608 B,1 M 621 K 424 B
Thu Apr  8 12:34:19 2021,26964754,19,400,39766,39742,39822,39765,39708,39823,0,0,255064,252650,256457,39740,404,0.660000 ~ 0.920000,0.165000 ~ 0.230000,137,5 M 909 K 629 B,1 M 619 K 596 B
