Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Thu Nov 22 22:02:19 2018,25714922,19,1000,48845,41413,49678,48820,41308,50289,0,0,14047,7279,18273,162045,6 ~ 1007,0.000000 ~ 0.390000,0.000000 ~ 0.048750,0,9 M 562 K 259 B,5 M 78 K 964 B
Thu Nov 22 22:03:19 2018,25714923,19,1000,49662,49607,49683,49660,48473,51234,0,0,26795,15010,56623,27586,1007,0.160000 ~ 0.420000,0.020000 ~ 0.052500,0,9 M 634 K 127 B,5 M 108 K 316 B
Thu Nov 22 22:04:19 2018,25714924,19,1000,49666,49637,49680,49665,49163,50286,0,0,24245,18969,57485,49723,1007,0.230000 ~ 0.380000,0.028750 ~ 0.047500,0,9 M 727 K 864 B,5 M 133 K 66 B
Thu Nov 22 22:05:19 2018,25714925,19,1000,49657,49606,49679,49658,48801,50490,0,0,30810,18190,59392,49605,1007,0.250000 ~ 0.390000,0.031250 ~ 0.048750,0,9 M 537 K 510 B,5 M 72 K 297 B
Thu Nov 22 22:06:19 2018,25714926,19,1000,49663,49619,49679,49662,48812,50936,0,0,29477,18737,63606,49731,1007,0.200000 ~ 0.360000,0.025000 ~ 0.045000,0,9 M 635 K 669 B,5 M 78 K 406 B
Thu Nov 22 22:07:10 2018,25714927,10,1000,49660,49627,49682,49658,48324,50387,0,0,29640,18711,56936,49563,1007 ~ 2007,0.220000 ~ 2.470000,0.027500 ~ 0.308750,0,19 M 211 K 1019 B,10 M 211 K 452 B
Thu Nov 22 22:07:19 2018,25714927,19,2000,98399,90868,99349,98395,90831,100037,0,0,14507,2614,46732,49563,1007 ~ 2007,0.220000 ~ 2.470000,0.027500 ~ 0.308750,0,19 M 211 K 1019 B,10 M 211 K 452 B
Thu Nov 22 22:08:19 2018,25714928,19,2000,99337,99294,99355,99290,98359,100037,0,0,14616,2618,60881,74132,2007,1.880000 ~ 2.390000,0.235000 ~ 0.298750,0,19 M 80 K 532 B,10 M 160 K 24 B
Thu Nov 22 22:09:19 2018,25714929,19,2000,99328,99261,99352,99358,98144,100507,0,0,17981,2622,69846,99196,2007,2.250000 ~ 2.940000,0.281250 ~ 0.367500,0,19 M 159 K 968 B,10 M 199 K 465 B
Thu Nov 22 22:10:19 2018,25714930,19,2000,99332,99301,99356,99350,98532,100102,0,0,16517,2628,51885,99324,2007,2.600000 ~ 3.680000,0.325000 ~ 0.460000,0,19 M 181 K 744 B,10 M 145 K 886 B
