Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Tue Nov 20 18:22:19 2018,25711822,19,1000,49642,49281,49672,49653,49456,49833,0,0,945,599,2170,67,7 ~ 1008,0.010000 ~ 0.500000,0.002500 ~ 0.125000,0,9 M 536 K 704 B,5 M 71 K 572 B
Tue Nov 20 18:23:19 2018,25711823,19,1000,49666,49659,49673,49653,49399,49819,0,0,17160,871,24939,41226,1008,0.320000 ~ 0.680000,0.080000 ~ 0.170000,0,9 M 563 K 291 B,5 M 85 K 841 B
Tue Nov 20 18:24:19 2018,25711824,19,1000,49663,49648,49670,49660,48625,50699,0,0,23294,17023,34660,49710,1008,0.350000 ~ 0.740000,0.087500 ~ 0.185000,0 ~ 1,9 M 576 K 861 B,5 M 90 K 53 B
Tue Nov 20 18:25:19 2018,25711825,19,1000,49665,49656,49671,49665,49646,49676,0,0,19995,19775,20320,49658,1008,0.740000 ~ 1.760000,0.185000 ~ 0.440000,0 ~ 1,9 M 536 K 238 B,5 M 71 K 453 B
Tue Nov 20 18:26:19 2018,25711826,19,1000,49665,49654,49672,49665,49619,49706,0,0,19933,19814,20306,49682,1008,1.030000 ~ 2.100000,0.257500 ~ 0.525000,0 ~ 1,9 M 537 K 82 B,5 M 72 K 76 B
Tue Nov 20 18:27:04 2018,25711827,4,1000,49655,49644,49665,49656,49646,49668,0,0,20091,19882,20371,49675,1008 ~ 2008,1.010000 ~ 2.800000,0.252500 ~ 0.700000,0 ~ 4,17 M 40 K 999 B,7 M 439 K 807 B
Tue Nov 20 18:27:19 2018,25711827,19,2000,99170,96962,99339,98558,89251,100320,0,0,269669,137201,344707,49675,1008 ~ 2008,1.010000 ~ 2.800000,0.252500 ~ 0.700000,0 ~ 4,17 M 40 K 999 B,7 M 439 K 807 B
Tue Nov 20 18:28:19 2018,25711828,19,2000,99331,99313,99342,99349,98719,100132,0,0,275596,239742,386858,87039,2008,2.800000 ~ 4.550000,0.700000 ~ 1.137500,0 ~ 4,18 M 576 K 151 B,8 M 134 K 56 B
Tue Nov 20 18:29:19 2018,25711829,19,2000,99329,99311,99342,99323,98573,100144,0,0,273418,229708,318705,99184,2008,4.030000 ~ 4.670000,1.007500 ~ 1.167500,0 ~ 105,18 M 204 K 847 B,8 M 33 K 614 B
Tue Nov 20 18:30:19 2018,25711830,19,2000,99329,99316,99339,99227,98720,99949,0,0,312936,221312,870138,99303,2008,3.880000 ~ 4.620000,0.970000 ~ 1.155000,0 ~ 105,18 M 505 K 996 B,8 M 81 K 362 B
