Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Tue Nov 20 16:44:19 2018,25711724,19,1000,49124,41064,49672,49105,40980,49674,0,0,12649,3977,31182,12558,7 ~ 1008,0.010000 ~ 0.940000,0.002500 ~ 0.235000,0,9 M 570 K 959 B,5 M 78 K 519 B
Tue Nov 20 16:45:19 2018,25711725,19,1000,49660,49646,49673,49654,49275,50001,0,0,25341,20223,38874,40089,1008,0.790000 ~ 1.280000,0.197500 ~ 0.320000,0 ~ 1,9 M 693 K 128 B,5 M 125 K 76 B
Tue Nov 20 16:46:19 2018,25711726,19,1000,49660,49648,49676,49664,49193,50260,0,0,29127,20653,50834,49699,1008,0.750000 ~ 1.110000,0.187500 ~ 0.277500,0 ~ 1,9 M 570 K 654 B,5 M 89 K 353 B
Tue Nov 20 16:47:19 2018,25711727,19,1000,49663,49649,49670,49662,48079,51256,0,0,21269,19636,32464,49711,1008,1.030000 ~ 1.480000,0.257500 ~ 0.370000,0 ~ 1,9 M 581 K 790 B,5 M 95 K 861 B
Tue Nov 20 16:48:19 2018,25711728,19,1000,49666,49652,49671,49667,49624,49703,0,0,20652,19936,28978,49555,1008,0.960000 ~ 1.460000,0.240000 ~ 0.365000,0 ~ 1,9 M 537 K 785 B,5 M 72 K 297 B
Tue Nov 20 16:49:04 2018,25711729,4,1000,49662,49654,49666,49634,49487,49690,0,0,22677,19956,26268,49759,1008 ~ 2008,0.940000 ~ 2.800000,0.235000 ~ 0.700000,0 ~ 5,17 M 131 K 371 B,7 M 448 K 358 B
Tue Nov 20 16:49:19 2018,25711729,19,2000,98703,89919,99343,97992,82884,99948,0,0,271168,87315,335756,49759,1008 ~ 2008,0.940000 ~ 2.800000,0.235000 ~ 0.700000,0 ~ 5,17 M 131 K 371 B,7 M 448 K 358 B
Tue Nov 20 16:50:19 2018,25711730,19,2000,99330,99315,99342,99244,98349,100550,0,0,323734,237757,798665,85819,2008,2.570000 ~ 3.960000,0.642500 ~ 0.990000,0 ~ 4,17 M 68 K 291 B,7 M 494 K 580 B
Tue Nov 20 16:51:19 2018,25711731,19,2000,99331,99311,99346,99460,97977,100898,0,2947,326746,236581,965982,99211,2008,4.050000 ~ 4.560000,1.012500 ~ 1.140000,0 ~ 107,18 M 555 K 740 B,8 M 125 K 629 B
Tue Nov 20 16:52:19 2018,25711732,19,2000,99333,99321,99342,99358,98309,100280,0,0,293336,224981,532930,99584,2008,4.500000 ~ 5.110000,1.125000 ~ 1.277500,0 ~ 2,20 M 498 K 586 B,8 M 924 K 953 B
Tue Nov 20 16:53:19 2018,25711733,19,2000,99331,99323,99340,99219,97726,100041,0,0,275666,204461,373158,99164,2008,4.240000 ~ 4.960000,1.060000 ~ 1.240000,3 ~ 4,20 M 44 K 998 B,8 M 834 K 313 B
Tue Nov 20 16:54:06 2018,25711734,6,2000,99330,99324,99336,99076,96031,100220,0,0,325529,206831,598478,99194,2008 ~ 2991,3.980000 ~ 5.500000,0.995000 ~ 1.375000,0 ~ 9,28 M 681 K 508 B,11 M 535 K 225 B
Tue Nov 20 16:54:19 2018,25711734,19,3000,146317,136084,148155,145205,127709,149534,0,0,456878,285246,831913,99194,2008 ~ 2991,3.980000 ~ 5.500000,0.995000 ~ 1.375000,0 ~ 9,28 M 681 K 508 B,11 M 535 K 225 B
