Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Tue Nov 20 13:54:19 2018,25711554,19,100,46837,46260,46945,46832,46230,46947,0,0,2478,1832,2656,94775,7 ~ 108,0.000000 ~ 0.080000,0.000000 ~ 0.020000,0,8 M 836 K 747 B,4 M 623 K 626 B
Tue Nov 20 13:55:19 2018,25711555,19,100,46935,46929,46948,46935,46916,46959,0,0,2585,2515,2783,18300,108,0.140000 ~ 0.590000,0.035000 ~ 0.147500,0,8 M 840 K 939 B,4 M 626 K 894 B
Tue Nov 20 13:56:19 2018,25711556,19,100,46933,46916,46947,46933,46914,46948,0,0,2600,2506,2725,46879,108,0.380000 ~ 0.630000,0.095000 ~ 0.157500,0,8 M 839 K 479 B,4 M 625 K 257 B
Tue Nov 20 13:57:19 2018,25711557,19,100,46928,46831,46954,46928,46825,46955,0,0,2588,2521,2726,47019,108,0.430000 ~ 0.720000,0.107500 ~ 0.180000,0,8 M 840 K 373 B,4 M 625 K 1018 B
Tue Nov 20 13:58:19 2018,25711558,19,100,46932,46924,46942,46932,46909,46943,0,0,2592,2500,2707,46922,108,0.560000 ~ 0.760000,0.140000 ~ 0.190000,0,8 M 841 K 446 B,4 M 627 K 128 B
Tue Nov 20 13:59:13 2018,25711559,13,100,46931,46920,46948,46932,46917,46943,0,0,2600,2524,2656,46880,108 ~ 208,0.490000 ~ 1.050000,0.122500 ~ 0.262500,0 ~ 1,15 M 509 K 395 B,6 M 483 K 993 B
Tue Nov 20 13:59:19 2018,25711559,19,200,93874,93419,93984,93826,93017,94073,0,0,12012,9699,15237,46880,108 ~ 208,0.490000 ~ 1.050000,0.122500 ~ 0.262500,0 ~ 1,15 M 509 K 395 B,6 M 483 K 993 B
Tue Nov 20 14:00:19 2018,25711560,19,200,93984,93974,93994,93982,93658,94236,0,0,10599,10124,12669,61989,208,0.890000 ~ 2.100000,0.222500 ~ 0.525000,3 ~ 4,15 M 499 K 230 B,6 M 480 K 60 B
Tue Nov 20 14:01:19 2018,25711561,19,200,93977,93938,94002,93975,93927,94003,0,0,12453,12250,12719,93943,208,1.950000 ~ 2.430000,0.487500 ~ 0.607500,3,15 M 492 K 403 B,6 M 477 K 480 B
Tue Nov 20 14:02:19 2018,25711562,19,200,93972,93958,93990,93975,93954,94018,0,0,12403,12047,12594,94055,208,1.830000 ~ 2.210000,0.457500 ~ 0.552500,2 ~ 3,15 M 586 K 732 B,6 M 518 K 883 B
