Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Thu Nov 22 19:06:19 2018,25714746,19,100,46604,46282,46926,46585,46247,46922,0,0,1978,1367,2580,0,6 ~ 107,0.000000,0.000000,0,8 M 839 K 243 B,4 M 625 K 309 B
Thu Nov 22 19:07:19 2018,25714747,19,100,46941,46898,46976,46941,46664,47142,0,0,2863,2483,4095,6790,107,0.000000 ~ 0.240000,0.000000 ~ 0.030000,0,8 M 849 K 393 B,4 M 631 K 162 B
Thu Nov 22 19:08:19 2018,25714748,19,100,46934,46861,46960,46934,46801,46958,0,0,3074,2482,5180,46876,107,0.090000 ~ 0.220000,0.011250 ~ 0.027500,0,8 M 844 K 1008 B,4 M 629 K 127 B
Thu Nov 22 19:09:19 2018,25714749,19,100,46954,46902,46982,46954,46851,47005,0,0,2878,2489,4813,47034,107,0.070000 ~ 0.420000,0.008750 ~ 0.052500,0,8 M 847 K 668 B,4 M 630 K 832 B
Thu Nov 22 19:10:19 2018,25714750,19,100,46935,46836,46981,46935,46838,46981,0,0,3296,2507,5960,46874,107,0.360000 ~ 0.660000,0.045000 ~ 0.082500,0,8 M 844 K 484 B,4 M 628 K 691 B
Thu Nov 22 19:11:18 2018,25714751,18,100,46943,46864,46992,46943,46827,47039,0,0,3117,2483,5675,47020,107 ~ 207,0.430000 ~ 0.650000,0.053750 ~ 0.081250,0,17 M 643 K 921 B,9 M 215 K 150 B
Thu Nov 22 19:11:19 2018,25714751,19,200,93502,93502,93502,93477,93477,93477,0,0,2200,1886,2512,47020,107 ~ 207,0.430000 ~ 0.650000,0.053750 ~ 0.081250,0,17 M 643 K 921 B,9 M 215 K 150 B
Thu Nov 22 19:12:19 2018,25714752,19,200,93872,93778,93939,93872,93778,93944,0,0,2795,2499,5293,50528,207,0.560000 ~ 1.780000,0.070000 ~ 0.222500,0,17 M 662 K 406 B,9 M 231 K 133 B
Thu Nov 22 19:13:19 2018,25714753,19,200,93889,93802,93925,93889,93792,93934,0,0,2851,2497,5421,93895,207,1.720000 ~ 3.350000,0.215000 ~ 0.418750,0,17 M 661 K 95 B,9 M 231 K 60 B
Thu Nov 22 19:14:19 2018,25714754,19,200,93896,93811,93934,93896,93829,93938,0,0,2723,2496,5273,93903,207,2.200000 ~ 2.940000,0.275000 ~ 0.367500,0,17 M 661 K 890 B,9 M 231 K 476 B
Thu Nov 22 19:15:19 2018,25714755,19,200,93874,93794,93928,93874,93713,93933,0,0,2978,2497,5926,93631,207,2.010000 ~ 2.540000,0.251250 ~ 0.317500,0,17 M 658 K 10 B,9 M 229 K 277 B
Thu Nov 22 19:16:19 2018,25714756,19,200,93880,93727,93931,93880,93711,93930,0,0,2909,2499,6524,94116,207,2.060000 ~ 2.430000,0.257500 ~ 0.303750,0,17 M 676 K 444 B,9 M 236 K 791 B
Thu Nov 22 19:17:00 2018,25714757,0,200,93931,93931,93931,93765,93765,93765,0,0,4617,3644,5589,93894,207 ~ 307,2.350000 ~ 4.380000,0.293750 ~ 0.547500,0 ~ 3,24 M 468 K 124 B,11 M 278 K 187 B
Thu Nov 22 19:17:19 2018,25714757,19,300,140886,140283,140966,140881,140189,140965,0,0,7665,7503,8286,93894,207 ~ 307,2.350000 ~ 4.380000,0.293750 ~ 0.547500,0 ~ 3,24 M 468 K 124 B,11 M 278 K 187 B
Thu Nov 22 19:18:19 2018,25714758,19,300,140913,140895,140936,140913,140881,140936,0,0,7701,7549,7975,140870,307,4.260000 ~ 6.210000,0.532500 ~ 0.776250,2 ~ 3,24 M 471 K 513 B,11 M 278 K 426 B
Thu Nov 22 19:19:19 2018,25714759,19,300,140922,140899,140947,140922,140874,140973,0,0,7682,7540,7989,141387,307,5.240000 ~ 6.640000,0.655000 ~ 0.830000,3,24 M 467 K 303 B,11 M 280 K 308 B
Thu Nov 22 19:20:19 2018,25714760,19,300,140914,140896,140931,140914,140887,140940,0,0,7677,7555,7972,140914,307,4.440000 ~ 5.650000,0.555000 ~ 0.706250,3,24 M 503 K 437 B,11 M 294 K 992 B
Thu Nov 22 19:21:19 2018,25714761,19,300,140913,140901,140926,140913,140888,140936,0,0,7676,7574,7836,140884,307,5.300000 ~ 6.150000,0.662500 ~ 0.768750,3,24 M 497 K 130 B,11 M 290 K 101 B
Thu Nov 22 19:22:01 2018,25714762,1,300,140915,140914,140917,140904,140896,140911,0,0,8065,7621,9912,140770,307 ~ 407,5.480000 ~ 6.830000,0.685000 ~ 0.853750,3 ~ 4,30 M 1020 K 420 B,12 M 968 K 441 B
Thu Nov 22 19:22:19 2018,25714762,19,400,187571,180029,188035,187555,179794,188059,0,0,10283,10068,12377,140770,307 ~ 407,5.480000 ~ 6.830000,0.685000 ~ 0.853750,3 ~ 4,30 M 1020 K 420 B,12 M 968 K 441 B
Thu Nov 22 19:23:19 2018,25714763,19,400,188016,187990,188041,188016,187976,188044,0,0,10204,10081,10413,184703,407,5.360000 ~ 6.020000,0.670000 ~ 0.752500,3 ~ 4,30 M 1014 K 826 B,12 M 965 K 452 B
