Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Tue Nov 20 14:31:19 2018,25711591,19,100,46889,46422,46931,46887,46391,46938,0,0,2693,2417,2898,86837,7 ~ 108,0.000000 ~ 0.270000,0.000000 ~ 0.067500,0,8 M 1018 K 275 B,4 M 805 K 509 B
Tue Nov 20 14:32:19 2018,25711592,19,100,46923,46911,46937,46923,46881,46954,0,0,2777,2624,3203,41339,108,0.230000 ~ 1.150000,0.057500 ~ 0.287500,0,8 M 1018 K 612 B,4 M 805 K 947 B
Tue Nov 20 14:33:19 2018,25711593,19,100,46928,46893,46941,46929,46884,46989,0,0,2971,2669,3511,46911,108,0.740000 ~ 1.060000,0.185000 ~ 0.265000,0,8 M 1019 K 27 B,4 M 805 K 255 B
Tue Nov 20 14:34:19 2018,25711594,19,100,46915,46906,46936,46915,46899,46932,0,0,2766,2604,3086,46959,108,0.700000 ~ 0.940000,0.175000 ~ 0.235000,0 ~ 3,8 M 1019 K 74 B,4 M 804 K 715 B
Tue Nov 20 14:35:19 2018,25711595,19,100,46922,46909,46932,46922,46910,46934,0,0,2720,2577,3083,46894,108,0.750000 ~ 1.180000,0.187500 ~ 0.295000,0,8 M 1018 K 844 B,4 M 807 K 216 B
Tue Nov 20 14:36:03 2018,25711596,3,100,46922,46918,46932,46923,46912,46939,0,0,2913,2716,3049,46980,108 ~ 208,0.900000 ~ 1.710000,0.225000 ~ 0.427500,0 ~ 4,15 M 861 K 261 B,6 M 846 K 463 B
Tue Nov 20 14:36:19 2018,25711596,19,200,93940,93430,93992,93923,93069,94044,0,0,10438,8731,13327,46980,108 ~ 208,0.900000 ~ 1.710000,0.225000 ~ 0.427500,0 ~ 4,15 M 861 K 261 B,6 M 846 K 463 B
Tue Nov 20 14:37:19 2018,25711597,19,200,93974,93964,93988,93975,93949,94001,0,0,10227,10119,10470,84894,208,1.450000 ~ 1.890000,0.362500 ~ 0.472500,4,15 M 894 K 837 B,6 M 859 K 419 B
Tue Nov 20 14:38:19 2018,25711598,19,200,93967,93774,93986,93964,93774,94018,0,0,10257,10129,11502,94171,208,1.340000 ~ 2.240000,0.335000 ~ 0.560000,4,15 M 876 K 738 B,6 M 851 K 869 B
Tue Nov 20 14:39:19 2018,25711599,19,200,93982,93966,94003,93984,93949,94029,0,0,10224,10123,10388,93811,208,2.140000 ~ 2.650000,0.535000 ~ 0.662500,3 ~ 4,15 M 873 K 183 B,6 M 849 K 133 B
Tue Nov 20 14:40:19 2018,25711600,19,200,93982,93965,94000,93983,93948,94015,0,0,10278,10115,11431,94161,208,1.610000 ~ 2.140000,0.402500 ~ 0.535000,4,15 M 863 K 770 B,6 M 845 K 133 B
Tue Nov 20 14:41:05 2018,25711601,5,200,93972,93941,93983,93946,93819,94009,0,0,11176,10203,17063,93854,208 ~ 308,1.940000 ~ 3.210000,0.485000 ~ 0.802500,4 ~ 5,22 M 541 K 765 B,8 M 681 K 162 B
Tue Nov 20 14:41:19 2018,25711601,19,300,138812,128034,141062,138791,127812,141068,0,0,16542,15307,18120,93854,208 ~ 308,1.940000 ~ 3.210000,0.485000 ~ 0.802500,4 ~ 5,22 M 541 K 765 B,8 M 681 K 162 B
Tue Nov 20 14:42:19 2018,25711602,19,300,141051,140984,141071,141052,140966,141078,0,0,16580,15747,18105,127303,308,3.100000 ~ 4.520000,0.775000 ~ 1.130000,4 ~ 5,22 M 553 K 564 B,8 M 687 K 182 B
