Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Tue Nov 20 19:13:19 2018,25711873,19,1000,49035,43336,49672,49015,43324,49833,0,0,7550,723,11452,34,8 ~ 1008,0.000000,0.000000,0,9 M 346 K 478 B,4 M 904 K 771 B
Tue Nov 20 19:14:19 2018,25711874,19,1000,49664,49651,49673,49659,48703,50944,0,0,20147,10708,31820,26318,1008,0.000000 ~ 1.550000,0.000000 ~ 0.387500,0 ~ 2,9 M 365 K 68 B,4 M 909 K 132 B
Tue Nov 20 19:15:19 2018,25711875,19,1000,49668,49660,49674,49666,49500,49844,0,0,21443,17983,36772,49663,1008,1.120000 ~ 1.550000,0.280000 ~ 0.387500,0 ~ 1,9 M 357 K 921 B,4 M 909 K 595 B
Tue Nov 20 19:16:19 2018,25711876,19,1000,49666,49653,49675,49666,49561,49756,0,0,20292,19961,21342,49550,1008,0.870000 ~ 1.220000,0.217500 ~ 0.305000,0 ~ 1,9 M 354 K 905 B,4 M 909 K 7 B
Tue Nov 20 19:17:19 2018,25711877,19,1000,49667,49652,49677,49667,49297,50039,0,0,21962,20431,28708,49719,1008,0.510000 ~ 0.890000,0.127500 ~ 0.222500,0,9 M 364 K 1007 B,4 M 914 K 294 B
Tue Nov 20 19:18:10 2018,25711878,10,1000,49667,49655,49673,49667,49653,49683,0,0,20981,20569,21308,49697,1008 ~ 2008,0.490000 ~ 2.610000,0.122500 ~ 0.652500,0 ~ 4,16 M 661 K 793 B,7 M 19 K 835 B
Tue Nov 20 19:18:19 2018,25711878,19,2000,98074,88026,99350,97018,81087,99493,0,0,252720,76451,326091,49697,1008 ~ 2008,0.490000 ~ 2.610000,0.122500 ~ 0.652500,0 ~ 4,16 M 661 K 793 B,7 M 19 K 835 B
Tue Nov 20 19:19:19 2018,25711879,19,2000,99333,99309,99344,99414,98328,100323,0,0,281994,203132,449047,71608,2008,2.480000 ~ 3.730000,0.620000 ~ 0.932500,0 ~ 5,16 M 769 K 1017 B,7 M 37 K 749 B
Tue Nov 20 19:20:19 2018,25711880,19,2000,99334,99322,99349,99291,98396,100343,0,0,272796,210173,395981,99585,2008,3.420000 ~ 4.930000,0.855000 ~ 1.232500,3 ~ 6,16 M 880 K 348 B,7 M 66 K 260 B
Tue Nov 20 19:21:19 2018,25711881,19,2000,99333,99317,99345,99347,98452,100552,0,0,278379,225994,388909,99143,2008,4.380000 ~ 5.320000,1.095000 ~ 1.330000,1 ~ 5,16 M 817 K 899 B,7 M 76 K 366 B
Tue Nov 20 19:22:19 2018,25711882,19,2000,99333,99324,99346,99266,98332,100394,0,0,296405,231720,461677,99289,2008,4.630000 ~ 5.120000,1.157500 ~ 1.280000,0 ~ 2,18 M 301 K 228 B,7 M 693 K 639 B
Tue Nov 20 19:23:11 2018,25711883,11,2000,99333,99319,99351,99210,98045,100521,0,0,295770,207327,457562,99521,2008 ~ 2971,4.400000 ~ 5.510000,1.100000 ~ 1.377500,0 ~ 205,25 M 31 K 192 B,9 M 756 K 768 B
Tue Nov 20 19:23:19 2018,25711883,19,3000,145089,136637,147154,143021,129340,147416,0,2986,419679,245644,657473,99521,2008 ~ 2971,4.400000 ~ 5.510000,1.100000 ~ 1.377500,0 ~ 205,25 M 31 K 192 B,9 M 756 K 768 B
Tue Nov 20 19:24:19 2018,25711884,19,3000,148295,147147,148762,148412,145937,150996,0,2999,496971,270621,1097917,116235,2971 ~ 3003,5.510000 ~ 6.040000,1.377500 ~ 1.510000,1 ~ 111,25 M 470 K 415 B,9 M 926 K 537 B
Tue Nov 20 19:25:18 2018,25711885,18,3000,148801,148731,148995,148656,146347,150373,1,2984,489900,303950,893630,148484,3003 ~ 3008,5.710000 ~ 6.680000,1.427500 ~ 1.670000,3 ~ 111,25 M 766 K 979 B,9 M 993 K 17 B
Tue Nov 20 19:25:19 2018,25711885,19,2000,99345,99345,99345,99796,99796,99796,0,0,356942,315754,397489,148484,3003 ~ 3008,5.710000 ~ 6.680000,1.427500 ~ 1.670000,3 ~ 111,25 M 766 K 979 B,9 M 993 K 17 B
Tue Nov 20 19:26:19 2018,25711886,19,3000,148990,148968,149012,148835,146351,151089,1,5923,498161,282565,1055691,148588,3008,5.650000 ~ 6.630000,1.412500 ~ 1.657500,1 ~ 6,25 M 725 K 210 B,9 M 946 K 106 B
Tue Nov 20 19:27:19 2018,25711887,19,3000,148987,148954,149007,148653,146191,150608,0,3036,532080,296691,962646,148956,3007 ~ 3008,5.340000 ~ 6.420000,1.335000 ~ 1.605000,1 ~ 317,25 M 740 K 61 B,9 M 976 K 348 B
Tue Nov 20 19:28:13 2018,25711888,13,3000,148987,148937,149008,149207,146233,152034,0,5969,605002,363561,1580016,148757,3007 ~ 3850,6.250000 ~ 6.590000,1.562500 ~ 1.647500,1 ~ 317,32 M 972 K 950 B,12 M 388 K 3 B
Tue Nov 20 19:28:19 2018,25711888,19,4000,184573,172563,190325,178536,163913,189724,0,0,721259,332884,1213135,148757,3007 ~ 3850,6.250000 ~ 6.590000,1.562500 ~ 1.647500,1 ~ 317,32 M 972 K 950 B,12 M 388 K 3 B
Tue Nov 20 19:29:19 2018,25711889,19,4000,192811,190721,194619,191200,183193,198437,3,50820,1064327,352404,2787823,159175,3850 ~ 3928,6.090000 ~ 6.830000,1.522500 ~ 1.707500,9 ~ 317,33 M 140 K 924 B,12 M 93 K 185 B
Tue Nov 20 19:30:19 2018,25711890,19,4000,195236,194585,198461,194714,190233,199195,3,62687,940492,355128,2293585,191624,3927 ~ 4005,6.330000 ~ 7.060000,1.582500 ~ 1.765000,2 ~ 113,36 M 467 K 523 B,13 M 414 K 733 B
Tue Nov 20 19:31:19 2018,25711891,19,4000,198492,198435,198611,197520,191092,201425,1,23899,964872,384606,2190097,195148,4004 ~ 4007,6.490000 ~ 7.460000,1.622500 ~ 1.865000,2 ~ 208,42 M 239 K 106 B,15 M 580 K 8 B
Tue Nov 20 19:32:19 2018,25711892,19,4000,198550,198474,198634,196982,191416,202921,4,81686,959657,370376,2294055,197173,4006 ~ 4008,7.460000 ~ 7.890000,1.865000 ~ 1.972500,4 ~ 232,37 M 205 K 905 B,13 M 816 K 526 B
Tue Nov 20 19:33:14 2018,25711893,14,4000,198596,198566,198630,196489,193134,199729,2,44757,1055455,397595,2127130,197007,4007 ~ 4949,7.560000 ~ 8.020000,1.890000 ~ 2.005000,2 ~ 113,40 M 353 K 328 B,14 M 412 K 564 B
Tue Nov 20 19:33:19 2018,25711893,19,5000,240299,227007,245171,228978,206605,245575,1,8908,1298095,277614,2331062,197007,4007 ~ 4949,7.560000 ~ 8.020000,1.890000 ~ 2.005000,2 ~ 113,40 M 353 K 328 B,14 M 412 K 564 B
Tue Nov 20 19:34:19 2018,25711894,19,5000,247134,246295,247679,245223,240071,251257,8,146395,1541301,550809,2824528,206543,4949 ~ 4998,7.880000 ~ 8.490000,1.970000 ~ 2.122500,5 ~ 113,45 M 299 K 308 B,16 M 334 K 609 B
