Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Thu Nov 22 17:39:19 2018,25714659,19,100,46881,46526,46952,46876,46491,46949,0,0,2960,2500,3981,100643,6 ~ 107,0.000000 ~ 0.720000,0.000000 ~ 0.090000,0,9 M 526 B,4 M 810 K 65 B
Thu Nov 22 17:40:19 2018,25714660,19,100,46917,46746,46970,46918,46728,47019,0,0,3378,2482,6707,17615,107,0.620000 ~ 0.860000,0.077500 ~ 0.107500,0,9 M 2 K 407 B,4 M 811 K 627 B
Thu Nov 22 17:41:19 2018,25714661,19,100,46951,46901,46976,46951,46858,47047,0,0,2858,2489,4193,46944,107,0.300000 ~ 0.650000,0.037500 ~ 0.081250,0,9 M 5 K 67 B,4 M 812 K 496 B
Thu Nov 22 17:42:19 2018,25714662,19,100,46942,46833,46979,46942,46822,46989,0,0,2998,2494,5326,47016,107,0.280000 ~ 0.580000,0.035000 ~ 0.072500,0,9 M 6 K 46 B,4 M 814 K 123 B
Thu Nov 22 17:43:19 2018,25714663,19,100,46937,46850,46970,46937,46852,47018,0,0,3027,2485,5527,46858,107,0.280000 ~ 0.590000,0.035000 ~ 0.073750,0,9 M 4 K 386 B,4 M 812 K 890 B
Thu Nov 22 17:44:14 2018,25714664,14,100,46927,46837,46976,46927,46769,47002,0,0,3252,2479,5581,46982,107 ~ 207,0.360000 ~ 1.120000,0.045000 ~ 0.140000,0,17 M 1018 K 576 B,9 M 592 K 671 B
Thu Nov 22 17:44:19 2018,25714664,19,200,93744,93207,93888,93737,93186,93910,0,0,2396,1323,2885,46982,107 ~ 207,0.360000 ~ 1.120000,0.045000 ~ 0.140000,0,17 M 1018 K 576 B,9 M 592 K 671 B
Thu Nov 22 17:45:19 2018,25714665,19,200,93844,93681,93899,93844,93673,93938,0,0,2960,2495,6107,61434,207,1.030000 ~ 2.000000,0.128750 ~ 0.250000,0,18 M 12 K 301 B,9 M 602 K 657 B
Thu Nov 22 17:46:19 2018,25714666,19,200,93875,93780,93901,93874,93780,93940,0,0,2702,2495,5099,93653,207,1.550000 ~ 2.110000,0.193750 ~ 0.263750,0,17 M 1023 K 661 B,9 M 595 K 716 B
Thu Nov 22 17:47:19 2018,25714667,19,200,93862,93766,93905,93861,93759,93904,0,0,2794,2496,4848,93933,207,1.790000 ~ 2.400000,0.223750 ~ 0.300000,0,17 M 1023 K 847 B,9 M 594 K 368 B
