,Quest count,QPS,UDP ARQ Rate,,TCP,,,,UDP ARQ,,,,Nake UDP,,,,Mix UDP,,,
,,,,,Avg,Max,Min,Timeout,Avg,Max,Min,Timeout,Avg,Max,Min,Timeout,Avg,Max,Min,Timeout
Caller,20000,100,25,,203,1020,71,0,114,429,59,0,58,70,51,1642,64,226,57,883
Peer,,,,,181,1942,30,0,136,768,28,0,43,66,28,1642,41,365,28,883
Caller,100000,1000,25,,855,2955,60,23765,106,260,64,0,55,60,51,2972,57,188,52,1550
Peer,,,,,2653,6760,33,0,110,401,27,0,36,45,27,2972,41,303,32,1550
Caller,200000,2000,25,,1185,2943,61,185059,92,275,60,0,52,60,49,4955,55,190,50,5781
Peer,,,,,19081,34312,41,57369,93,455,32,0,36,51,27,4955,37,308,27,5781
