,Quest count,QPS,UDP ARQ Rate,,TCP,,,,UDP ARQ,,,,Nake UDP,,,,Mix UDP,,,
,,,,,Avg,Max,Min,Timeout,Avg,Max,Min,Timeout,Avg,Max,Min,Timeout,Avg,Max,Min,Timeout
Caller,20000,100,25,,159,580,57,0,86,359,50,0,89,259,62,0,70,219,48,0
Peer,,,,,131,270,69,0,69,71,68,0,98,159,95,0,69,71,68,0
Caller,100000,1000,25,,384,1171,53,0,82,195,51,0,108,257,63,0,92,224,59,0
Peer,,,,,79,104,68,0,69,71,68,0,98,110,97,0,90,101,90,0
Caller,200000,2000,25,,691,1715,58,0,370,2682,71,166588,100,257,49,0,84,229,60,0
Peer,,,,,92,164,86,0,99,191,95,0,69,71,68,0,88,108,86,0
Caller,200000,2000,25,,1791,2853,102,92739,148,341,58,0,159,353,63,0,324,23844,94,157447
Peer,,,,,675,3131,135,0,85,223,79,0,91,128,89,0,170,727,150,17445
