Version,Connections,Total QPS,,Client avg Delay (us),Client Max delay (us),Client avg load,Client Max load,,Server avg QPS,Server Max QPS,Server avg load,Server Max load
UDP,20,40000,,249,300,2.34659,2.97,,34775,34792,1.89316,3.16
UDP,40,80000,,299,317,2.76341,3.65,,68001,69541,3.51402,4.98
UDP,200,20000,,230,248,1.38802,2.14,,19855,19859,0.784353,1.24
UDP,400,40000,,264,400,1.54751,2.45,,39380,39720,1.71813,2.89
,,,,,,,,,,,,
TCP,20,40000,,742,770,,,,34980,34997,,
TCP,40,80000,,752,794,,,,69600,70040,,
TCP,200,20000,,223,266,,,,19857,19865,,
TCP,400,40000,,231,323,,,,39520,39729,,
