,Quest count,QPS,UDP ARQ Rate,,TCP,,,,UDP ARQ,,,,Nake UDP,,,,Mix UDP,,,
,,,,,Avg,Max,Min,Timeout,Avg,Max,Min,Timeout,Avg,Max,Min,Timeout,Avg,Max,Min,Timeout
Caller,20000,100,25,,272,510,165,0,164,254,164,0,166,171,166,1,125,216,125,0
Peer,,,,,239,471,149,0,148,329,148,0,152,154,152,1,148,329,148,0
Caller,100000,1000,25,,144,295,133,0,162,222,162,0,166,332,164,0,164,289,164,1
Peer,,,,,159,415,149,0,148,265,147,0,150,175,148,0,148,151,147,1
Caller,200000,2000,25,,139,416,133,0,128,344,124,7714,130,301,126,1441,129,253,125,2526
Peer,,,,,155,497,148,0,157,587,147,1713,152,155,148,10,148,153,147,11
