Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Tue Nov 20 10:49:19 2018,25711369,19,100,46958,46932,46978,46957,46904,46977,0,0,2729,2542,3464,0,7 ~ 108,0.000000 ~ 0.590000,0.000000 ~ 0.147500,0,8 M 846 K 904 B,4 M 629 K 970 B
Tue Nov 20 10:50:19 2018,25711370,19,100,46954,46892,46970,46954,46890,46970,0,0,2584,2504,2755,44618,108,0.460000 ~ 0.810000,0.115000 ~ 0.202500,0,8 M 845 K 352 B,4 M 629 K 363 B
Tue Nov 20 10:51:19 2018,25711371,19,100,46960,46947,46971,46959,46899,47015,0,0,2636,2525,2851,47040,108,0.420000 ~ 0.650000,0.105000 ~ 0.162500,0 ~ 1,8 M 843 K 613 B,4 M 627 K 912 B
Tue Nov 20 10:52:19 2018,25711372,19,100,46965,46945,46983,46965,46922,46987,0,0,2749,2568,2968,46960,108,0.460000 ~ 0.760000,0.115000 ~ 0.190000,0 ~ 1,8 M 856 K 831 B,4 M 634 K 79 B
Tue Nov 20 10:53:19 2018,25711373,19,100,46961,46945,46975,46961,46947,46974,0,0,2701,2593,2854,46908,108,0.210000 ~ 0.460000,0.052500 ~ 0.115000,0,8 M 840 K 824 B,4 M 624 K 638 B
Tue Nov 20 10:54:02 2018,25711374,2,100,46958,46957,46960,46960,46953,46965,0,0,2768,2600,2963,46924,108 ~ 208,0.210000 ~ 1.150000,0.052500 ~ 0.287500,0 ~ 4,15 M 538 K 775 B,6 M 490 K 433 B
Tue Nov 20 10:54:19 2018,25711374,19,200,94006,93957,94024,93990,93532,94106,0,0,10974,9930,14515,46924,108 ~ 208,0.210000 ~ 1.150000,0.052500 ~ 0.287500,0 ~ 4,15 M 538 K 775 B,6 M 490 K 433 B
Tue Nov 20 10:55:19 2018,25711375,19,200,94015,93998,94032,94015,93975,94073,0,0,10248,10109,10529,88425,208,1.000000 ~ 1.400000,0.250000 ~ 0.350000,4,15 M 515 K 564 B,6 M 483 K 498 B
Tue Nov 20 10:56:19 2018,25711376,19,200,94010,94000,94035,94010,93980,94053,0,0,10205,10091,10491,93987,208,1.060000 ~ 1.400000,0.265000 ~ 0.350000,4,15 M 502 K 338 B,6 M 480 K 317 B
Tue Nov 20 10:57:19 2018,25711377,19,200,94021,93998,94055,94021,93985,94060,0,0,10227,10060,10634,93938,208,1.000000 ~ 1.550000,0.250000 ~ 0.387500,3 ~ 4,15 M 519 K 203 B,6 M 487 K 496 B
Tue Nov 20 10:58:19 2018,25711378,19,200,94008,94000,94017,94008,93975,94041,0,0,10210,10100,10354,94004,208,0.950000 ~ 1.370000,0.237500 ~ 0.342500,4,15 M 509 K 696 B,6 M 481 K 203 B
Tue Nov 20 10:59:03 2018,25711379,3,200,94010,94008,94015,94007,94003,94016,0,0,10194,10151,10241,94023,208 ~ 304,0.930000 ~ 1.180000,0.232500 ~ 0.295000,4 ~ 7,21 M 815 K 85 B,8 M 86 K 374 B
Tue Nov 20 10:59:19 2018,25711379,19,300,135622,120169,139205,135597,119926,139228,0,0,15788,13134,17499,94023,208 ~ 304,0.930000 ~ 1.180000,0.232500 ~ 0.295000,4 ~ 7,21 M 815 K 85 B,8 M 86 K 374 B
Tue Nov 20 11:00:19 2018,25711380,19,300,140266,139194,140646,140265,139179,140750,0,0,16066,15559,16724,128151,304 ~ 307,1.150000 ~ 1.710000,0.287500 ~ 0.427500,4 ~ 5,21 M 967 K 563 B,8 M 118 K 1017 B
Tue Nov 20 11:01:19 2018,25711381,19,300,140937,140567,141107,140936,140557,141115,0,0,16110,15687,16802,140241,307 ~ 308,1.280000 ~ 2.440000,0.320000 ~ 0.610000,4 ~ 5,21 M 1021 K 749 B,8 M 131 K 746 B
Tue Nov 20 11:02:19 2018,25711382,19,300,141092,141080,141104,141093,141076,141114,0,0,16140,15764,17210,140833,308,2.060000 ~ 2.480000,0.515000 ~ 0.620000,4,22 M 13 K 1018 B,8 M 141 K 394 B
Tue Nov 20 11:03:19 2018,25711383,19,300,141080,141066,141095,141081,141048,141110,0,0,16124,15756,16692,141069,308,2.190000 ~ 3.320000,0.547500 ~ 0.830000,4 ~ 5,22 M 9 K 732 B,8 M 136 K 932 B
Tue Nov 20 11:04:05 2018,25711384,5,300,141076,141057,141091,141060,140965,141103,0,0,16553,15761,21636,141259,308 ~ 408,2.660000 ~ 3.670000,0.665000 ~ 0.917500,5 ~ 6,31 M 233 K 620 B,10 M 762 K 224 B
Tue Nov 20 11:04:19 2018,25711384,19,400,185348,169573,188122,185277,169098,188309,0,0,26397,22097,30204,141259,308 ~ 408,2.660000 ~ 3.670000,0.665000 ~ 0.917500,5 ~ 6,31 M 233 K 620 B,10 M 762 K 224 B
Tue Nov 20 11:05:19 2018,25711385,19,400,188104,188088,188121,188115,187914,188344,0,0,27226,25026,30437,173552,408,3.480000 ~ 3.970000,0.870000 ~ 0.992500,5 ~ 6,31 M 405 K 823 B,10 M 818 K 379 B
Tue Nov 20 11:06:19 2018,25711386,19,400,188105,188089,188123,188100,187841,188355,0,0,27105,24898,30179,188198,408,3.480000 ~ 4.110000,0.870000 ~ 1.027500,5 ~ 6,28 M 562 K 708 B,9 M 824 K 164 B
Tue Nov 20 11:07:19 2018,25711387,19,400,188111,188089,188138,188107,187967,188300,0,0,27130,25045,30636,188597,408,3.580000 ~ 4.180000,0.895000 ~ 1.045000,5,28 M 697 K 788 B,9 M 851 K 191 B
Tue Nov 20 11:08:19 2018,25711388,19,400,188104,188084,188125,188112,187811,188399,0,0,27182,24556,30926,187572,408,3.620000 ~ 4.470000,0.905000 ~ 1.117500,5 ~ 10,31 M 431 K 875 B,10 M 813 K 624 B
Tue Nov 20 11:09:06 2018,25711389,6,400,188106,188097,188115,188063,187734,188259,0,0,27330,25064,30292,188176,408 ~ 508,4.080000 ~ 5.180000,1.020000 ~ 1.295000,5 ~ 7,35 M 78 K 100 B,11 M 540 K 870 B
Tue Nov 20 11:09:19 2018,25711389,19,500,233632,222082,234868,233461,220515,235503,0,0,51269,34909,55850,188176,408 ~ 508,4.080000 ~ 5.180000,1.020000 ~ 1.295000,5 ~ 7,35 M 78 K 100 B,11 M 540 K 870 B
Tue Nov 20 11:10:19 2018,25711390,19,500,234856,234811,234909,234841,234202,235227,0,0,52105,47673,58037,219197,508,4.490000 ~ 5.180000,1.122500 ~ 1.295000,4,35 M 165 K 213 B,11 M 532 K 625 B
