Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Fri Apr  9 07:49:19 2021,26965909,19,100,48142,48114,48149,48139,48110,48149,0,0,2076,394,2417,19,4 ~ 105,0.000000 ~ 0.880000,0.000000 ~ 0.220000,0 ~ 1,9 M 50 K 89 B,4 M 748 K 819 B
Fri Apr  9 07:50:19 2021,26965910,19,100,48143,48140,48149,48143,47929,48356,0,0,2421,2337,2564,29724,105,0.820000 ~ 1.460000,0.205000 ~ 0.365000,0,9 M 47 K 834 B,4 M 747 K 597 B
Fri Apr  9 07:51:19 2021,26965911,19,100,48142,48130,48151,48142,48130,48151,0,0,2405,2324,2832,48197,105,0.930000 ~ 1.550000,0.232500 ~ 0.387500,0,9 M 47 K 735 B,4 M 747 K 494 B
Fri Apr  9 07:52:19 2021,26965912,19,100,48147,48138,48152,48147,48137,48153,0,0,2411,2329,2663,48174,105,0.810000 ~ 0.950000,0.202500 ~ 0.237500,0,9 M 48 K 364 B,4 M 748 K 704 B
Fri Apr  9 07:53:19 2021,26965913,19,100,48148,48144,48154,48148,48129,48165,0,0,2397,2339,2548,48059,105,0.680000 ~ 1.150000,0.170000 ~ 0.287500,0,9 M 50 K 815 B,4 M 749 K 94 B
Fri Apr  9 07:54:09 2021,26965914,9,100,48150,48142,48170,48130,47972,48158,0,0,3314,2384,11263,48225,105 ~ 205,1.060000 ~ 2.200000,0.265000 ~ 0.550000,0 ~ 4,15 M 856 K 230 B,6 M 578 K 854 B
Fri Apr  9 07:54:19 2021,26965914,19,200,96403,96315,96430,96396,96079,96549,0,0,11217,10156,16981,48225,105 ~ 205,1.060000 ~ 2.200000,0.265000 ~ 0.550000,0 ~ 4,15 M 856 K 230 B,6 M 578 K 854 B
Fri Apr  9 07:55:19 2021,26965915,19,200,96423,96410,96435,96423,96361,96479,0,0,10254,10159,10527,74499,205,2.140000 ~ 2.910000,0.535000 ~ 0.727500,4 ~ 7,15 M 872 K 688 B,6 M 579 K 788 B
Fri Apr  9 07:56:19 2021,26965916,19,200,96424,96418,96434,96424,96379,96475,0,0,10220,10160,10424,96575,205,2.340000 ~ 2.770000,0.585000 ~ 0.692500,4 ~ 7,15 M 852 K 140 B,6 M 571 K 144 B
Fri Apr  9 07:57:19 2021,26965917,19,200,96421,96368,96433,96421,96371,96481,0,0,10260,10152,10593,96356,205,2.250000 ~ 2.990000,0.562500 ~ 0.747500,4,15 M 846 K 249 B,6 M 575 K 323 B
Fri Apr  9 07:58:19 2021,26965918,19,200,96424,96414,96433,96424,96409,96435,0,0,10237,10127,11399,96451,205,2.310000 ~ 3.130000,0.577500 ~ 0.782500,4,15 M 838 K 163 B,6 M 565 K 453 B
Fri Apr  9 07:59:10 2021,26965919,10,200,96425,96418,96433,96419,96355,96434,0,0,10341,10164,12552,96500,205 ~ 305,2.640000 ~ 3.140000,0.660000 ~ 0.785000,4 ~ 6,22 M 566 K 71 B,8 M 291 K 581 B
Fri Apr  9 07:59:19 2021,26965919,19,300,144643,143116,144846,144608,142782,144895,0,0,15431,15304,16327,96500,205 ~ 305,2.640000 ~ 3.140000,0.660000 ~ 0.785000,4 ~ 6,22 M 566 K 71 B,8 M 291 K 581 B
Fri Apr  9 08:00:19 2021,26965920,19,300,144833,144772,144851,144832,144136,145442,0,0,15452,15205,17420,119622,305,2.920000 ~ 3.600000,0.730000 ~ 0.900000,5 ~ 6,22 M 534 K 699 B,8 M 276 K 360 B
Fri Apr  9 08:01:19 2021,26965921,19,300,144824,144763,144846,144825,144394,145331,0,0,15945,15172,18932,144906,305,3.060000 ~ 3.470000,0.765000 ~ 0.867500,6 ~ 7,22 M 543 K 964 B,8 M 283 K 775 B
Fri Apr  9 08:02:19 2021,26965922,19,300,144836,144815,144845,144835,144764,144881,0,0,15417,15260,16032,144550,305,3.560000 ~ 4.230000,0.890000 ~ 1.057500,6 ~ 7,22 M 551 K 189 B,8 M 287 K 606 B
Fri Apr  9 08:03:19 2021,26965923,19,300,144834,144815,144846,144834,144737,144933,0,0,15415,15183,16048,144967,305,3.710000 ~ 4.110000,0.927500 ~ 1.027500,6,22 M 536 K 360 B,8 M 282 K 778 B
Fri Apr  9 08:04:11 2021,26965924,11,300,144837,144819,144852,144837,144724,144950,0,0,15545,15275,16638,144529,305 ~ 394,3.560000 ~ 4.090000,0.890000 ~ 1.022500,5 ~ 7,28 M 462 K 804 B,9 M 799 K 881 B
Fri Apr  9 08:04:19 2021,26965924,19,400,185146,178265,187783,185002,177688,188063,0,0,24479,17954,29376,144529,305 ~ 394,3.560000 ~ 4.090000,0.890000 ~ 1.022500,5 ~ 7,28 M 462 K 804 B,9 M 799 K 881 B
Fri Apr  9 08:05:19 2021,26965925,19,400,191129,187757,193033,191130,187846,193179,0,0,28075,24540,30853,161717,394 ~ 405,3.380000 ~ 4.750000,0.845000 ~ 1.187500,5 ~ 10,31 M 895 K 777 B,10 M 964 K 715 B
Fri Apr  9 08:06:19 2021,26965926,19,400,192997,192939,193030,192995,191635,194502,0,0,30174,27657,35202,190991,405,3.950000 ~ 4.900000,0.987500 ~ 1.225000,7 ~ 9,29 M 304 K 64 B,10 M 8 K 462 B
Fri Apr  9 08:07:19 2021,26965927,19,400,193010,192981,193034,193009,192562,193483,0,0,29851,28437,33677,192928,405,4.370000 ~ 5.020000,1.092500 ~ 1.255000,7 ~ 8,29 M 486 K 409 B,10 M 63 K 892 B
