Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Fri Apr  9 11:46:19 2021,26966146,19,10,17676,17650,17691,17674,17648,17690,0,0,813,579,965,99261,4 ~ 15,0.000000,0.000000,0,3 M 331 K 593 B,1 M 755 K 206 B
Fri Apr  9 11:47:19 2021,26966147,19,10,17680,17663,17690,17681,17662,17707,0,0,840,738,1030,10626,15,0.000000,0.000000,0,3 M 332 K 286 B,1 M 755 K 969 B
Fri Apr  9 11:48:19 2021,26966148,19,10,17685,17675,17700,17685,17676,17700,0,0,793,741,856,17657,15,0.000000 ~ 0.190000,0.000000 ~ 0.047500,0,3 M 334 K 223 B,1 M 756 K 847 B
Fri Apr  9 11:49:19 2021,26966149,19,10,17683,17664,17693,17683,17664,17692,0,0,797,739,900,17718,15,0.120000 ~ 0.240000,0.030000 ~ 0.060000,0,3 M 332 K 483 B,1 M 755 K 1020 B
Fri Apr  9 11:50:19 2021,26966150,19,10,17678,17654,17692,17678,17654,17692,0,0,853,740,1141,17662,15,0.100000 ~ 0.190000,0.025000 ~ 0.047500,0 ~ 1,3 M 333 K 167 B,1 M 755 K 1015 B
Fri Apr  9 11:51:09 2021,26966151,9,10,17679,17654,17689,17679,17655,17690,0,0,784,742,885,17689,15 ~ 25,0.060000 ~ 0.470000,0.015000 ~ 0.117500,0,6 M 669 K 113 B,3 M 490 K 234 B
Fri Apr  9 11:51:19 2021,26966151,19,20,35381,35346,35406,35381,35342,35413,0,0,799,756,866,17689,15 ~ 25,0.060000 ~ 0.470000,0.015000 ~ 0.117500,0,6 M 669 K 113 B,3 M 490 K 234 B
Fri Apr  9 11:52:19 2021,26966152,19,20,35378,35311,35410,35378,35328,35411,0,0,821,756,967,27044,25,0.260000 ~ 0.470000,0.065000 ~ 0.117500,0,6 M 668 K 53 B,3 M 489 K 691 B
Fri Apr  9 11:53:19 2021,26966153,19,20,35382,35358,35407,35382,35358,35407,0,0,793,757,906,35468,25,0.320000 ~ 0.720000,0.080000 ~ 0.180000,0,6 M 668 K 53 B,3 M 489 K 640 B
Fri Apr  9 11:54:19 2021,26966154,19,20,35377,35327,35404,35377,35326,35404,0,0,806,756,911,35365,25,0.380000 ~ 0.560000,0.095000 ~ 0.140000,0,6 M 668 K 152 B,3 M 489 K 743 B
Fri Apr  9 11:55:19 2021,26966155,19,20,35371,35335,35397,35371,35337,35397,0,0,838,760,987,35353,25,0.430000 ~ 0.560000,0.107500 ~ 0.140000,0,6 M 669 K 211 B,3 M 490 K 285 B
Fri Apr  9 11:56:10 2021,26966156,10,20,35350,35312,35370,35350,35302,35402,0,0,867,805,982,35344,25 ~ 35,0.360000 ~ 0.770000,0.090000 ~ 0.192500,0 ~ 1,9 M 798 K 87 B,5 M 18 K 191 B
Fri Apr  9 11:56:19 2021,26966156,19,30,52702,52655,52816,52700,52656,52802,0,0,1450,967,1550,35344,25 ~ 35,0.360000 ~ 0.770000,0.090000 ~ 0.192500,0 ~ 1,9 M 798 K 87 B,5 M 18 K 191 B
Fri Apr  9 11:57:19 2021,26966157,19,30,52698,52670,52720,52698,52670,52727,0,0,1495,1292,1549,43366,35,0.770000 ~ 1.060000,0.192500 ~ 0.265000,0 ~ 1,9 M 795 K 207 B,5 M 18 K 317 B
