Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Fri Apr  9 07:10:19 2021,26965870,19,1000,49733,48752,49798,49745,48966,49798,0,0,7965,7281,14478,0,5 ~ 1005,0.000000 ~ 0.520000,0.000000 ~ 0.130000,0,9 M 365 K 18 B,4 M 914 K 149 B
Fri Apr  9 07:11:19 2021,26965871,19,1000,49795,49790,49799,49795,49625,49958,0,0,7311,6819,8810,44479,1005,0.440000 ~ 1.150000,0.110000 ~ 0.287500,0,9 M 366 K 634 B,4 M 914 K 975 B
Fri Apr  9 07:12:19 2021,26965872,19,1000,49795,49791,49800,49794,49394,50170,0,0,7320,6801,14163,49946,1005,0.890000 ~ 1.310000,0.222500 ~ 0.327500,0,9 M 367 K 644 B,4 M 915 K 2 B
Fri Apr  9 07:13:19 2021,26965873,19,1000,49796,49793,49800,49796,49781,49810,0,0,8399,7881,10324,49798,1005,1.020000 ~ 1.500000,0.255000 ~ 0.375000,0,9 M 367 K 137 B,4 M 914 K 421 B
Fri Apr  9 07:14:19 2021,26965874,19,1000,49796,49791,49800,49796,49631,49961,0,0,8007,7846,8669,49644,1005,1.080000 ~ 1.300000,0.270000 ~ 0.325000,0,9 M 384 K 524 B,4 M 914 K 667 B
Fri Apr  9 07:15:03 2021,26965875,3,1000,49797,49795,49798,49796,49740,49854,0,0,7911,7853,7951,49955,1005 ~ 2005,1.280000 ~ 2.090000,0.320000 ~ 0.522500,0 ~ 8,16 M 696 K 471 B,7 M 46 K 897 B
Fri Apr  9 07:15:19 2021,26965875,19,2000,96579,74970,99600,95883,71555,101249,0,286,274767,63323,457568,49955,1005 ~ 2005,1.280000 ~ 2.090000,0.320000 ~ 0.522500,0 ~ 8,16 M 696 K 471 B,7 M 46 K 897 B
Fri Apr  9 07:16:19 2021,26965876,19,2000,99591,99575,99616,99578,98432,100510,0,0,340102,250473,792992,88017,2005,2.070000 ~ 2.740000,0.517500 ~ 0.685000,0 ~ 8,16 M 697 K 943 B,7 M 59 K 223 B
Fri Apr  9 07:17:19 2021,26965877,19,2000,99588,99578,99598,99439,98398,100845,0,2964,340909,243964,777820,99703,2005,2.320000 ~ 2.910000,0.580000 ~ 0.727500,0 ~ 112,18 M 466 K 444 B,7 M 845 K 1006 B
Fri Apr  9 07:18:19 2021,26965878,19,2000,99587,99568,99611,99669,98413,101375,1,3018,393797,225320,929737,99258,2005,2.450000 ~ 2.970000,0.612500 ~ 0.742500,1 ~ 4,18 M 27 K 543 B,7 M 640 K 394 B
Fri Apr  9 07:19:19 2021,26965879,19,2000,99589,99573,99614,99586,98197,100628,0,0,326074,219071,847670,99883,2005,2.890000 ~ 4.350000,0.722500 ~ 1.087500,2 ~ 8,18 M 370 K 450 B,7 M 741 K 920 B
Fri Apr  9 07:20:04 2021,26965880,4,2000,99591,99579,99607,99512,98190,100975,0,0,312468,239591,456491,99467,2005 ~ 2676,3.530000 ~ 4.230000,0.882500 ~ 1.057500,0 ~ 106,21 M 43 K 138 B,8 M 425 K 929 B
Fri Apr  9 07:20:19 2021,26965880,19,3000,130586,119541,133044,129811,114526,133718,0,0,421277,253614,1007517,99467,2005 ~ 2676,3.530000 ~ 4.230000,0.882500 ~ 1.057500,0 ~ 106,21 M 43 K 138 B,8 M 425 K 929 B
Fri Apr  9 07:21:19 2021,26965881,19,3000,133638,132984,133930,132986,130253,134938,0,17992,533993,275146,1256064,122599,2676 ~ 2694,3.130000 ~ 3.420000,0.782500 ~ 0.855000,4 ~ 5,23 M 409 K 654 B,9 M 318 K 335 B
Fri Apr  9 07:22:19 2021,26965882,19,3000,140719,133875,145566,139908,131356,145660,1,14967,652988,273485,1485775,132917,2694 ~ 2928,3.120000 ~ 3.970000,0.780000 ~ 0.992500,4 ~ 110,25 M 440 K 394 B,9 M 943 K 696 B
Fri Apr  9 07:23:19 2021,26965883,19,3000,145678,145512,145899,143283,138561,145358,6,59876,832981,215680,2155083,139939,2928 ~ 2934,3.640000 ~ 4.170000,0.910000 ~ 1.042500,5 ~ 211,25 M 57 K 479 B,9 M 768 K 863 B
Fri Apr  9 07:24:19 2021,26965884,19,3000,147004,145681,148536,145201,141816,150096,85,131226,972062,225303,2761690,143437,2932 ~ 2989,3.090000 ~ 4.360000,0.772500 ~ 1.090000,4 ~ 211,25 M 129 K 958 B,9 M 814 K 645 B
Fri Apr  9 07:25:06 2021,26965885,6,3000,149072,148975,149154,148434,146455,150992,2,32933,917543,261179,2583068,145059,2988 ~ 3478,3.750000 ~ 4.430000,0.937500 ~ 1.107500,4 ~ 113,29 M 616 K 250 B,11 M 170 K 775 B
Fri Apr  9 07:25:19 2021,26965885,19,4000,169456,161510,172901,167391,158267,173651,5,62768,829464,309703,2407992,145059,2988 ~ 3478,3.750000 ~ 4.430000,0.937500 ~ 1.107500,4 ~ 113,29 M 616 K 250 B,11 M 170 K 775 B
Fri Apr  9 07:26:19 2021,26965886,19,4000,174305,172846,175293,173330,169615,176537,4,53707,899363,387327,2025729,161733,3477 ~ 3526,3.970000 ~ 4.570000,0.992500 ~ 1.142500,5 ~ 10,31 M 931 K 269 B,12 M 59 K 996 B
Fri Apr  9 07:27:19 2021,26965887,19,4000,182559,175215,190243,179703,170978,188113,10,65738,1004513,518943,1925556,173299,3524 ~ 3842,3.990000 ~ 4.480000,0.997500 ~ 1.120000,4 ~ 111,28 M 661 K 760 B,10 M 665 K 325 B
