Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Thu Apr  8 02:30:16 2021,26964150,16,300,144506,144506,144506,144828,144828,144828,0,0,20181,19538,20772,193067,404,6.690000 ~ 6.980000,1.672500 ~ 1.745000,0,35 M 629 K 578 B,15 M 779 K 302 B
Thu Apr  8 02:30:19 2021,26964150,19,400,192760,192755,192764,192827,192582,193004,0,0,17882,16587,18945,193067,404,6.690000 ~ 6.980000,1.672500 ~ 1.745000,0,35 M 629 K 578 B,15 M 779 K 302 B
Thu Apr  8 02:31:06 2021,26964151,6,400,192760,192751,192775,192825,192480,193207,0,0,18882,16738,20681,192653,404,6.440000 ~ 7.000000,1.610000 ~ 1.750000,0,35 M 565 K 949 B,15 M 721 K 428 B
Thu Apr  8 02:31:07 2021,26964151,7,300,144552,144552,144552,144413,144413,144413,0,0,20801,18920,23203,192653,404,6.440000 ~ 7.000000,1.610000 ~ 1.750000,0,35 M 565 K 949 B,15 M 721 K 428 B
Thu Apr  8 02:31:15 2021,26964151,15,400,192766,192746,192777,192751,192057,193682,0,0,20156,17795,22922,192653,404,6.440000 ~ 7.000000,1.610000 ~ 1.750000,0,35 M 565 K 949 B,15 M 721 K 428 B
Thu Apr  8 02:31:16 2021,26964151,16,300,144573,144573,144573,144129,144129,144129,0,0,19226,18608,19688,192653,404,6.440000 ~ 7.000000,1.610000 ~ 1.750000,0,35 M 565 K 949 B,15 M 721 K 428 B
Thu Apr  8 02:31:19 2021,26964151,19,400,192758,192753,192767,192824,192625,193166,0,0,19076,17245,20375,192653,404,6.440000 ~ 7.000000,1.610000 ~ 1.750000,0,35 M 565 K 949 B,15 M 721 K 428 B
Thu Apr  8 02:32:05 2021,26964152,5,400,192756,192748,192772,192683,192122,193151,0,0,20737,17386,24401,192526,404 ~ 504,6.050000 ~ 6.790000,1.512500 ~ 1.697500,0,37 M 364 K 822 B,15 M 659 K 364 B
Thu Apr  8 02:32:06 2021,26964152,6,300,144557,144557,144557,144935,144935,144935,0,0,20187,20107,20267,192526,404 ~ 504,6.050000 ~ 6.790000,1.512500 ~ 1.697500,0,37 M 364 K 822 B,15 M 659 K 364 B
Thu Apr  8 02:32:09 2021,26964152,9,400,192749,192746,192754,192806,192484,193000,0,0,19636,17547,21177,192526,404 ~ 504,6.050000 ~ 6.790000,1.512500 ~ 1.697500,0,37 M 364 K 822 B,15 M 659 K 364 B
Thu Apr  8 02:32:15 2021,26964152,15,500,241208,241069,241252,240940,239324,241456,0,0,35912,24566,37637,192526,404 ~ 504,6.050000 ~ 6.790000,1.512500 ~ 1.697500,0,37 M 364 K 822 B,15 M 659 K 364 B
Thu Apr  8 02:32:16 2021,26964152,16,400,192968,192968,192968,192903,192903,192903,0,0,37406,37008,37862,192526,404 ~ 504,6.050000 ~ 6.790000,1.512500 ~ 1.697500,0,37 M 364 K 822 B,15 M 659 K 364 B
Thu Apr  8 02:32:19 2021,26964152,19,500,239277,236573,241260,225096,210973,241256,0,0,169630,36594,497446,192526,404 ~ 504,6.050000 ~ 6.790000,1.512500 ~ 1.697500,0,37 M 364 K 822 B,15 M 659 K 364 B
Thu Apr  8 02:33:07 2021,26964153,7,500,234794,233958,235668,209628,189530,224712,0,0,1698545,572425,2940889,214404,504,4.240000 ~ 5.960000,1.060000 ~ 1.490000,0,33 M 707 K 646 B,8 M 930 K 872 B
Thu Apr  8 02:33:08 2021,26964153,8,400,187182,187182,187182,177358,177358,177358,0,0,3078437,2996819,3147141,214404,504,4.240000 ~ 5.960000,1.060000 ~ 1.490000,0,33 M 707 K 646 B,8 M 930 K 872 B
Thu Apr  8 02:33:15 2021,26964153,15,500,234284,233742,234536,209492,196317,218444,0,0,4352235,3212134,5492034,214404,504,4.240000 ~ 5.960000,1.060000 ~ 1.490000,0,33 M 707 K 646 B,8 M 930 K 872 B
Thu Apr  8 02:33:16 2021,26964153,16,400,187537,187537,187537,169077,169077,169077,0,0,5634264,5568034,5709722,214404,504,4.240000 ~ 5.960000,1.060000 ~ 1.490000,0,33 M 707 K 646 B,8 M 930 K 872 B
Thu Apr  8 02:33:19 2021,26964153,19,500,234305,234107,234671,201750,191627,207860,0,0,6332510,5851543,6774975,214404,504,4.240000 ~ 5.960000,1.060000 ~ 1.490000,0,33 M 707 K 646 B,8 M 930 K 872 B
