Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Fri Apr  9 08:37:19 2021,26965957,19,100,9929,9923,9933,9929,9925,9933,0,0,1611,269,3162,52927,5 ~ 105,0.000000,0.000000,0,1 M 889 K 1023 B,1001 K 175 B
Fri Apr  9 08:38:19 2021,26965958,19,100,9930,9924,9933,9930,9923,9933,0,0,3152,3072,3365,9905,105,0.000000,0.000000,0,1 M 889 K 615 B,1001 K 296 B
Fri Apr  9 08:39:19 2021,26965959,19,100,9930,9925,9933,9930,9923,9933,0,0,4166,3252,7407,9945,105,0.000000,0.000000,0,1 M 889 K 615 B,1001 K 450 B
Fri Apr  9 08:40:19 2021,26965960,19,100,9930,9922,9933,9930,9923,9933,0,0,7659,7366,8173,9921,105,0.000000,0.000000,0,1 M 889 K 615 B,1000 K 1011 B
Fri Apr  9 08:41:19 2021,26965961,19,100,9930,9924,9933,9930,9923,9933,0,0,8034,7962,8143,9941,105,0.000000,0.000000,0,1 M 889 K 518 B,1001 K 553 B
Fri Apr  9 08:42:01 2021,26965962,1,100,9931,9930,9932,9931,9931,9932,0,0,7983,7966,8001,9935,105 ~ 205,0.000000 ~ 0.160000,0.000000 ~ 0.040000,0,3 M 754 K 376 B,1 M 977 K 580 B
Fri Apr  9 08:42:19 2021,26965962,19,200,19860,19853,19866,19860,19855,19873,0,0,4218,313,8160,9935,105 ~ 205,0.000000 ~ 0.160000,0.000000 ~ 0.040000,0,3 M 754 K 376 B,1 M 977 K 580 B
Fri Apr  9 08:43:19 2021,26965963,19,200,19861,19854,19866,19860,19825,19899,0,0,5197,481,8500,19168,205,0.080000 ~ 0.430000,0.020000 ~ 0.107500,0,3 M 754 K 968 B,1 M 977 K 992 B
Fri Apr  9 08:44:19 2021,26965964,19,200,19862,19856,19866,19861,19836,19882,0,0,6977,3044,9563,19864,205,0.300000 ~ 0.490000,0.075000 ~ 0.122500,0,3 M 754 K 671 B,1 M 976 K 750 B
Fri Apr  9 08:45:19 2021,26965965,19,200,19860,19850,19865,19860,19829,19889,0,0,9058,8472,9725,19819,205,0.350000 ~ 0.500000,0.087500 ~ 0.125000,0,3 M 755 K 435 B,1 M 977 K 632 B
Fri Apr  9 08:46:19 2021,26965966,19,200,19861,19844,19866,19861,19844,19871,0,0,9292,8669,10076,19911,205,0.190000 ~ 0.410000,0.047500 ~ 0.102500,0,3 M 753 K 1006 B,1 M 977 K 374 B
Fri Apr  9 08:47:02 2021,26965967,2,200,19860,19856,19862,19860,19859,19863,0,0,9329,8698,9928,19844,205 ~ 305,0.150000 ~ 0.290000,0.037500 ~ 0.072500,0,5 M 617 K 413 B,2 M 952 K 910 B
Fri Apr  9 08:47:19 2021,26965967,19,300,29790,29784,29798,29788,29769,29797,0,0,8783,322,10378,19844,205 ~ 305,0.150000 ~ 0.290000,0.037500 ~ 0.072500,0,5 M 617 K 413 B,2 M 952 K 910 B
Fri Apr  9 08:48:19 2021,26965968,19,300,29790,29778,29796,29788,29767,29799,0,0,10020,8994,10726,28402,305,0.060000 ~ 0.220000,0.015000 ~ 0.055000,0,5 M 619 K 136 B,2 M 952 K 622 B
Fri Apr  9 08:49:19 2021,26965969,19,300,29791,29778,29798,29792,29771,29819,0,0,10177,9687,10658,29823,305,0.290000 ~ 0.440000,0.072500 ~ 0.110000,0,5 M 617 K 411 B,2 M 951 K 874 B
Fri Apr  9 08:50:19 2021,26965970,19,300,29790,29782,29797,29790,29734,29856,0,0,10170,9670,10571,29735,305,0.400000 ~ 0.980000,0.100000 ~ 0.245000,0,5 M 626 K 81 B,2 M 956 K 516 B
Fri Apr  9 08:51:19 2021,26965971,19,300,29791,29779,29798,29791,29781,29798,0,0,10243,9981,10479,29820,305,0.600000 ~ 0.980000,0.150000 ~ 0.245000,0,5 M 616 K 253 B,2 M 951 K 153 B
Fri Apr  9 08:52:04 2021,26965972,4,300,29790,29786,29793,29790,29788,29795,0,0,10272,10038,10423,29812,305 ~ 405,0.670000 ~ 1.030000,0.167500 ~ 0.257500,0,7 M 479 K 781 B,3 M 926 K 945 B
Fri Apr  9 08:52:19 2021,26965972,19,400,39720,39708,39730,39720,39711,39735,0,0,7823,455,10501,29812,305 ~ 405,0.670000 ~ 1.030000,0.167500 ~ 0.257500,0,7 M 479 K 781 B,3 M 926 K 945 B
Fri Apr  9 08:53:19 2021,26965973,19,400,39721,39711,39731,39721,39704,39730,0,0,7864,634,10423,37702,405,0.640000 ~ 1.030000,0.160000 ~ 0.257500,0,7 M 480 K 545 B,3 M 927 K 466 B
Fri Apr  9 08:54:19 2021,26965974,19,400,39719,39694,39729,39719,39689,39748,0,0,8360,738,10523,39632,405,0.530000 ~ 0.760000,0.132500 ~ 0.190000,0,7 M 480 K 644 B,3 M 927 K 127 B
Fri Apr  9 08:55:19 2021,26965975,19,400,39720,39702,39729,39719,39691,39740,0,0,8980,2726,10629,39803,405,0.590000 ~ 0.940000,0.147500 ~ 0.235000,0,7 M 478 K 426 B,3 M 926 K 173 B
Fri Apr  9 08:56:19 2021,26965976,19,400,39720,39710,39730,39720,39684,39759,0,0,9962,8596,10615,39619,405,0.680000 ~ 1.040000,0.170000 ~ 0.260000,0 ~ 1,7 M 480 K 151 B,3 M 926 K 842 B
Fri Apr  9 08:57:05 2021,26965977,5,400,39721,39716,39725,39721,39710,39728,0,0,10177,9393,10532,39748,405 ~ 505,0.670000 ~ 1.370000,0.167500 ~ 0.342500,0 ~ 1,9 M 342 K 326 B,4 M 902 K 538 B
Fri Apr  9 08:57:19 2021,26965977,19,500,49648,49641,49657,49648,49427,49857,0,0,9623,484,14672,39748,405 ~ 505,0.670000 ~ 1.370000,0.167500 ~ 0.342500,0 ~ 1,9 M 342 K 326 B,4 M 902 K 538 B
Fri Apr  9 08:58:19 2021,26965978,19,500,49649,49638,49657,49648,49630,49661,0,0,10489,4673,14534,46902,505,1.090000 ~ 2.000000,0.272500 ~ 0.500000,0,9 M 354 K 743 B,4 M 908 K 29 B
Fri Apr  9 08:59:19 2021,26965979,19,500,49649,49631,49661,49650,49594,49721,0,0,10403,9806,12525,49623,505,1.270000 ~ 2.000000,0.317500 ~ 0.500000,0,9 M 350 K 603 B,4 M 905 K 938 B
