Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Wed Apr  7 12:52:18 2021,26963332,18,10,17681,17667,17714,17680,17668,17714,0,0,429,245,505,57797,4 ~ 15,0.000000 ~ 0.080000,0.000000 ~ 0.020000,0,3 M 578 K 748 B,1 M 758 K 16 B
Wed Apr  7 12:53:19 2021,26963333,19,10,17677,17665,17686,17677,17665,17686,0,0,674,509,717,6200,15,0.070000 ~ 0.840000,0.017500 ~ 0.210000,0,3 M 573 K 296 B,1 M 755 K 1017 B
Wed Apr  7 12:54:19 2021,26963334,19,10,17680,17675,17685,17680,17674,17685,0,0,715,713,719,17696,15,0.530000 ~ 0.860000,0.132500 ~ 0.215000,0,3 M 572 K 687 B,1 M 756 K 101 B
Wed Apr  7 12:55:19 2021,26963335,19,10,17680,17675,17684,17680,17675,17684,0,0,716,713,718,17694,15,0.670000 ~ 0.990000,0.167500 ~ 0.247500,0,3 M 572 K 760 B,1 M 755 K 816 B
Wed Apr  7 12:56:19 2021,26963336,19,10,17681,17673,17688,17681,17674,17687,0,0,715,712,720,17640,15,0.620000 ~ 0.830000,0.155000 ~ 0.207500,0,3 M 573 K 824 B,1 M 755 K 763 B
Wed Apr  7 12:57:14 2021,26963337,14,10,17680,17677,17684,17680,17677,17684,0,0,715,713,718,17696,15 ~ 25,0.980000 ~ 1.220000,0.245000 ~ 0.305000,0,7 M 125 K 473 B,3 M 488 K 259 B
Wed Apr  7 12:57:19 2021,26963337,19,20,35378,35371,35388,35378,35368,35389,0,0,533,292,718,17696,15 ~ 25,0.980000 ~ 1.220000,0.245000 ~ 0.305000,0,7 M 125 K 473 B,3 M 488 K 259 B
Wed Apr  7 12:58:03 2021,26963338,3,20,35356,35345,35363,35356,35344,35362,0,0,610,462,722,22629,24 ~ 25,1.090000 ~ 1.830000,0.272500 ~ 0.457500,0,7 M 119 K 735 B,3 M 485 K 461 B
Wed Apr  7 12:58:04 2021,26963338,4,10,17678,17678,17678,17678,17678,17678,0,0,578,578,578,22629,24 ~ 25,1.090000 ~ 1.830000,0.272500 ~ 0.457500,0,7 M 119 K 735 B,3 M 485 K 461 B
Wed Apr  7 12:58:14 2021,26963338,14,20,35350,35345,35358,35350,35344,35358,0,0,652,562,719,22629,24 ~ 25,1.090000 ~ 1.830000,0.272500 ~ 0.457500,0,7 M 119 K 735 B,3 M 485 K 461 B
