Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Wed Apr  7 10:46:19 2021,26963206,19,100,9929,9924,9933,9928,9924,9933,0,0,218,216,220,0,4 ~ 105,0.000000 ~ 0.080000,0.000000 ~ 0.020000,0,2 M 2 K 331 B,1000 K 930 B
Wed Apr  7 10:47:19 2021,26963207,19,100,9930,9922,9933,9930,9922,9933,0,0,215,210,220,2420,105,0.070000 ~ 0.550000,0.017500 ~ 0.137500,0,2 M 2 K 120 B,1001 K 745 B
Wed Apr  7 10:48:19 2021,26963208,19,100,9930,9923,9933,9930,9921,9933,0,0,212,205,218,9955,105,0.510000 ~ 0.790000,0.127500 ~ 0.197500,0,2 M 1 K 194 B,1000 K 415 B
Wed Apr  7 10:49:19 2021,26963209,19,100,9930,9922,9933,9930,9923,9933,0,0,210,204,214,9925,105,0.330000 ~ 0.560000,0.082500 ~ 0.140000,0,2 M 796 B,1000 K 771 B
Wed Apr  7 10:50:19 2021,26963210,19,100,9930,9922,9933,9930,9923,9933,0,0,212,208,221,9926,105,0.310000 ~ 0.400000,0.077500 ~ 0.100000,0,2 M 1 K 528 B,1001 K 255 B
Wed Apr  7 10:51:16 2021,26963211,16,100,9931,9924,9933,9931,9925,9933,0,0,211,206,215,9927,105 ~ 205,0.280000 ~ 0.580000,0.070000 ~ 0.145000,0,3 M 1022 K 606 B,1 M 975 K 229 B
Wed Apr  7 10:51:19 2021,26963211,19,200,19863,19860,19866,19863,19860,19866,0,0,215,211,222,9927,105 ~ 205,0.280000 ~ 0.580000,0.070000 ~ 0.145000,0,3 M 1022 K 606 B,1 M 975 K 229 B
Wed Apr  7 10:52:19 2021,26963212,19,200,19860,19853,19866,19860,19853,19865,0,0,215,208,286,11681,205,0.530000 ~ 0.970000,0.132500 ~ 0.242500,0,4 M 289 B,1 M 975 K 899 B
Wed Apr  7 10:53:19 2021,26963213,19,200,19861,19851,19866,19861,19852,19866,0,0,214,208,220,19877,205,0.880000 ~ 1.380000,0.220000 ~ 0.345000,0,3 M 1023 K 426 B,1 M 975 K 431 B
Wed Apr  7 10:54:19 2021,26963214,19,200,19860,19851,19865,19860,19851,19865,0,0,218,212,223,19816,205,0.790000 ~ 1.340000,0.197500 ~ 0.335000,0,4 M 1 K 910 B,1 M 976 K 390 B
Wed Apr  7 10:55:19 2021,26963215,19,200,19860,19852,19865,19860,19852,19866,0,0,214,210,219,19872,205,0.750000 ~ 1.390000,0.187500 ~ 0.347500,0,3 M 1023 K 848 B,1 M 975 K 843 B
Wed Apr  7 10:56:17 2021,26963216,17,200,19861,19852,19866,19861,19852,19866,0,0,219,209,293,19876,205 ~ 305,0.740000 ~ 1.390000,0.185000 ~ 0.347500,0,5 M 1012 K 695 B,2 M 945 K 632 B
Wed Apr  7 10:56:19 2021,26963216,19,300,29794,29793,29795,29795,29791,29799,0,0,236,215,306,19876,205 ~ 305,0.740000 ~ 1.390000,0.185000 ~ 0.347500,0,5 M 1012 K 695 B,2 M 945 K 632 B
Wed Apr  7 10:57:19 2021,26963217,19,300,29791,29772,29799,29791,29777,29799,0,0,222,211,378,20965,305,1.130000 ~ 1.570000,0.282500 ~ 0.392500,0,6 M 645 B,2 M 951 K 513 B
Wed Apr  7 10:58:19 2021,26963218,19,300,29790,29773,29798,29790,29775,29799,0,0,220,211,294,29754,305,1.090000 ~ 1.500000,0.272500 ~ 0.375000,0,6 M 828 B,2 M 952 K 619 B
