Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server Connection Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Thu Apr 15 08:06:05 2021,26974566,5,10000,995,995,995,995,995,995,0,0,334,334,334,29920,3 ~ 23922,0.000000,0.000000,0,837 K 37 B,468 K 424 B
Thu Apr 15 08:07:00 2021,26974567,0,30000,2989,2989,2989,2989,2989,2989,0,0,309,252,340,526,30004 ~ 100004,0.000000 ~ 0.730000,0.000000 ~ 0.091250,0,2 M 934 K 247 B,1 M 250 K 138 B
Thu Apr 15 08:07:01 2021,26974567,1,40000,3985,3985,3985,3985,3985,3985,0,0,295,243,341,526,30004 ~ 100004,0.000000 ~ 0.730000,0.000000 ~ 0.091250,0,2 M 934 K 247 B,1 M 250 K 138 B
Thu Apr 15 08:07:02 2021,26974567,2,50000,4982,4982,4982,4982,4982,4982,0,0,288,242,340,526,30004 ~ 100004,0.000000 ~ 0.730000,0.000000 ~ 0.091250,0,2 M 934 K 247 B,1 M 250 K 138 B
Thu Apr 15 08:07:03 2021,26974567,3,70000,6975,6975,6975,6975,6975,6975,0,0,276,143,341,526,30004 ~ 100004,0.000000 ~ 0.730000,0.000000 ~ 0.091250,0,2 M 934 K 247 B,1 M 250 K 138 B
Thu Apr 15 08:07:04 2021,26974567,4,80000,7972,7972,7972,7972,7972,7972,0,0,288,153,343,526,30004 ~ 100004,0.000000 ~ 0.730000,0.000000 ~ 0.091250,0,2 M 934 K 247 B,1 M 250 K 138 B
Thu Apr 15 08:07:05 2021,26974567,5,90000,8967,8967,8967,8967,8967,8967,0,0,297,163,346,526,30004 ~ 100004,0.000000 ~ 0.730000,0.000000 ~ 0.091250,0,2 M 934 K 247 B,1 M 250 K 138 B
Thu Apr 15 08:08:00 2021,26974568,0,100000,9963,9963,9963,9963,9963,9963,0,0,296,169,354,6675,105156 ~ 180004,0.520000 ~ 0.800000,0.065000 ~ 0.100000,0,5 M 43 K 1006 B,2 M 41 K 309 B
Thu Apr 15 08:08:01 2021,26974568,1,120000,11960,11960,11960,11960,11960,11960,0,0,282,137,358,6675,105156 ~ 180004,0.520000 ~ 0.800000,0.065000 ~ 0.100000,0,5 M 43 K 1006 B,2 M 41 K 309 B
Thu Apr 15 08:08:02 2021,26974568,2,130000,12954,12954,12954,12954,12954,12954,0,0,289,154,359,6675,105156 ~ 180004,0.520000 ~ 0.800000,0.065000 ~ 0.100000,0,5 M 43 K 1006 B,2 M 41 K 309 B
Thu Apr 15 08:08:03 2021,26974568,3,150000,14948,14948,14948,14948,14948,14948,0,0,281,141,360,6675,105156 ~ 180004,0.520000 ~ 0.800000,0.065000 ~ 0.100000,0,5 M 43 K 1006 B,2 M 41 K 309 B
Thu Apr 15 08:08:04 2021,26974568,4,160000,15941,15941,15941,15941,15941,15941,0,0,287,169,360,6675,105156 ~ 180004,0.520000 ~ 0.800000,0.065000 ~ 0.100000,0,5 M 43 K 1006 B,2 M 41 K 309 B
Thu Apr 15 08:08:05 2021,26974568,5,170000,16944,16944,16944,16944,16944,16944,0,0,291,175,363,6675,105156 ~ 180004,0.520000 ~ 0.800000,0.065000 ~ 0.100000,0,5 M 43 K 1006 B,2 M 41 K 309 B
Thu Apr 15 08:09:00 2021,26974569,0,180000,17933,17933,17933,17933,17933,17933,0,0,293,179,364,14607,184878 ~ 280004,0.670000 ~ 1.580000,0.083750 ~ 0.197500,0,7 M 749 K 517 B,3 M 54 K 132 B
